Walls Above Grade | Mass Heavy,0,,0.65,,
Walls Above Grade | Wood Framed and Other,0,,0.092,,
Floors | Mass,,,0.158,,
Floors | Other,,,0.076,,
Slab-On-Grade Floors | Unheated Slabs,,,0.73,,Maximum is an F-Factor.
Slab-On-Grade Floors | Heated Slabs,,,0.2,16,"R-5 vertical insulation from top of slab down 16 inches or to the frost line, whichever is greater."
Opaque Doors | Non-Swinging,,,1.45,,
Opaque Doors | Swinging,,,0.7,,
,,,,,
table:   Opaque Envelope Requirements | Climate Zone 3,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Metal Buildings,0,,0.051,,"0.75 Thermal Emittance and 0.20 Aged Solar Reflectance (steep-sloped), 0.75 Thermal Emittance and 0.55 Aged Solar Reflectance (low-sloped)"
Roofs | Wood Framed and Other,0,,0.051,,"0.75 Thermal Emittance and 0.20 Aged Solar Reflectance (steep-sloped), 0.75 Thermal Emittance and 0.55 Aged Solar Reflectance (low-sloped)"
Walls Above Grade | Metal Building,0,,0.181,,Air Barrier - Not Required
Walls Above Grade | Metal Framed,0,,0.181,,
Walls Above Grade | Mass Light,0,,0.43,,
Walls Above Grade | Mass Heavy,0,,0.65,,
Walls Above Grade | Wood Framed and Other,0,,0.092,,
Floors | Mass,,,0.158,,
Floors | Other,,,0.076,,
Slab-On-Grade Floors | Unheated Slabs,,,0.73,,Maximum is an F-Factor.
Slab-On-Grade Floors | Heated Slabs,,5,0.2,16,"R-5 vertical insulation from top of slab down 16 inches or to the frost line, whichever is greater."
Opaque Doors | Non-Swinging,,,1.45,,
Opaque Doors | Swinging,,,0.7,,
,,,,,
table:   Opaque Envelope Requirements | Climate Zone 4,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Metal Buildings,0,,0.051,,"0.75 Thermal Emittance and 0.20 Aged Solar Reflectance (steep-sloped), 0.75 Thermal Emittance and 0.55 Aged Solar Reflectance (low-sloped)"
Roofs | Wood Framed and Other,0,,0.051,,"0.75 Thermal Emittance and 0.20 Aged Solar Reflectance (steep-sloped), 0.75 Thermal Emittance and 0.55 Aged Solar Reflectance (low-sloped)"
Walls Above Grade | Metal Building,0,,0.181,,Air Barrier - Not Required
Walls Above Grade | Metal Framed,0,,0.181,,
Walls Above Grade | Mass Light,0,,0.43,,
Walls Above Grade | Mass Heavy,0,,0.65,,
Walls Above Grade | Wood Framed and Other,0,,0.092,,
Floors | Mass,,,0.158,,
Floors | Other,,,0.076,,
Slab-On-Grade Floors | Unheated Slabs,,,0.73,,Maximum is an F-Factor.
Slab-On-Grade Floors | Heated Slabs,,5,0.2,16,"R-5 vertical insulation from top of slab down 16 inches or to the frost line, whichever is greater."
Opaque Doors | Non-Swinging,,,1.45,,
Opaque Doors | Swinging,,,0.7,,
,,,,,
table:   Opaque Envelope Requirements | Climate Zone 5,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Metal Buildings,0,,0.051,,"0.75 Thermal Emittance and 0.20 Aged Solar Reflectance (steep-sloped), 0.75 Thermal Emittance and 0.55 Aged Solar Reflectance (low-sloped)"
Roofs | Wood Framed and Other,0,,0.051,,"0.75 Thermal Emittance and 0.20 Aged Solar Reflectance (steep-sloped), 0.75 Thermal Emittance and 0.55 Aged Solar Reflectance (low-sloped)"
Walls Above Grade | Metal Building,0,,0.181,,Air Barrier - Not Required
Walls Above Grade | Metal Framed,0,,0.181,,
Walls Above Grade | Mass Light,0,,0.43,,
Walls Above Grade | Mass Heavy,0,,0.65,,
Walls Above Grade | Wood Framed and Other,0,,0.092,,
Floors | Mass,,,0.158,,
Floors | Other,,,0.076,,
Slab-On-Grade Floors | Unheated Slabs,,,0.73,,Maximum is an F-Factor.
Slab-On-Grade Floors | Heated Slabs,,5,0.2,16,"R-5 vertical insulation from top of slab down 16 inches or to the frost line, whichever is greater."
Opaque Doors | Non-Swinging,,,1.45,,
Opaque Doors | Swinging,,,0.7,,
,,,,,
table:   Opaque Envelope Requirements | Climate Zone 6,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Metal Buildings,0,,0.051,,"0.75 Thermal Emittance and 0.20 Aged Solar Reflectance (steep-sloped), 0.75 Thermal Emittance and 0.55 Aged Solar Reflectance (low-sloped)"
Roofs | Wood Framed and Other,0,,0.051,,"0.75 Thermal Emittance and 0.20 Aged Solar Reflectance (steep-sloped), 0.75 Thermal Emittance and 0.55 Aged Solar Reflectance (low-sloped)"
Walls Above Grade | Metal Building,0,,0.181,,Air Barrier - Not Required
Walls Above Grade | Metal Framed,0,,0.181,,
Walls Above Grade | Mass Light,0,,0.43,,
Walls Above Grade | Mass Heavy,0,,0.69,,
Walls Above Grade | Wood Framed and Other,0,,0.092,,
Floors | Mass,,,0.158,,
Floors | Other,,,0.076,,
Slab-On-Grade Floors | Unheated Slabs,,,0.73,,Maximum is an F-Factor.
Slab-On-Grade Floors | Heated Slabs,,5,0.2,16,"R-5 vertical insulation from top of slab down 16 inches or to the frost line, whichever is greater."
Opaque Doors | Non-Swinging,,,1.45,,
Opaque Doors | Swinging,,,0.7,,
,,,,,
table:   Opaque Envelope Requirements | Climate Zone 7,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Metal Buildings,0,,0.051,,"0.75 Thermal Emittance and 0.20 Aged Solar Reflectance (steep-sloped), 0.75 Thermal Emittance and 0.55 Aged Solar Reflectance (low-sloped)"
Roofs | Wood Framed and Other,0,,0.051,,"0.75 Thermal Emittance and 0.20 Aged Solar Reflectance (steep-sloped), 0.75 Thermal Emittance and 0.55 Aged Solar Reflectance (low-sloped)"
Walls Above Grade | Metal Building,0,,0.181,,Air Barrier - Not Required
Walls Above Grade | Metal Framed,0,,0.181,,
Walls Above Grade | Mass Light,0,,0.43,,
Walls Above Grade | Mass Heavy,0,,0.69,,
Walls Above Grade | Wood Framed and Other,0,,0.092,,
Floors | Mass,,,0.158,,
Floors | Other,,,0.076,,
Slab-On-Grade Floors | Unheated Slabs,,,0.73,,Maximum is an F-Factor.
Slab-On-Grade Floors | Heated Slabs,,5,0.2,16,"R-5 vertical insulation from top of slab down 16 inches or to the frost line, whichever is greater."
Opaque Doors | Non-Swinging,,,1.45,,
Opaque Doors | Swinging,,,0.7,,
,,,,,
table:   Opaque Envelope Requirements | Climate Zone 8,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Metal Buildings,0,,0.051,,"0.75 Thermal Emittance and 0.20 Aged Solar Reflectance (steep-sloped), 0.75 Thermal Emittance and 0.55 Aged Solar Reflectance (low-sloped)"
Roofs | Wood Framed and Other,0,,0.051,,"0.75 Thermal Emittance and 0.20 Aged Solar Reflectance (steep-sloped), 0.75 Thermal Emittance and 0.55 Aged Solar Reflectance (low-sloped)"
Walls Above Grade | Metal Building,0,,0.181,,Air Barrier - Not Required
Walls Above Grade | Metal Framed,0,,0.181,,
Walls Above Grade | Mass Light,0,,0.43,,
Walls Above Grade | Mass Heavy,0,,0.69,,
Walls Above Grade | Wood Framed and Other,0,,0.092,,
Floors | Mass,,,0.158,,
Floors | Other,,,0.076,,
Slab-On-Grade Floors | Unheated Slabs,,,0.73,,Maximum is an F-Factor.
Slab-On-Grade Floors | Heated Slabs,,5,0.2,16,"R-5 vertical insulation from top of slab down 16 inches or to the frost line, whichever is greater."
Opaque Doors | Non-Swinging,,,1.45,,
Opaque Doors | Swinging,,,0.7,,
,,,,,
table:   Opaque Envelope Requirements | Climate Zone 9,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Metal Buildings,0,,0.051,,"0.75 Thermal Emittance and 0.20 Aged Solar Reflectance (steep-sloped), 0.75 Thermal Emittance and 0.55 Aged Solar Reflectance (low-sloped)"
Roofs | Wood Framed and Other,0,,0.051,,"0.75 Thermal Emittance and 0.20 Aged Solar Reflectance (steep-sloped), 0.75 Thermal Emittance and 0.55 Aged Solar Reflectance (low-sloped)"
Walls Above Grade | Metal Building,0,,0.181,,Air Barrier - Not Required
Walls Above Grade | Metal Framed,0,,0.181,,
Walls Above Grade | Mass Light,0,,0.43,,
Walls Above Grade | Mass Heavy,0,,0.69,,
Walls Above Grade | Wood Framed and Other,0,,0.092,,
Floors | Mass,,,0.158,,
Floors | Other,,,0.076,,
Slab-On-Grade Floors | Unheated Slabs,,,0.73,,Maximum is an F-Factor.
Slab-On-Grade Floors | Heated Slabs,,5,0.2,16,"R-5 vertical insulation from top of slab down 16 inches or to the frost line, whichever is greater."
Opaque Doors | Non-Swinging,,,1.45,,
Opaque Doors | Swinging,,,0.7,,
,,,,,
table:   Opaque Envelope Requirements | Climate Zone 10,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Metal Buildings,0,,0.051,,"0.75 Thermal Emittance and 0.20 Aged Solar Reflectance (steep-sloped), 0.75 Thermal Emittance and 0.55 Aged Solar Reflectance (low-sloped)"
Roofs | Wood Framed and Other,0,,0.051,,"0.75 Thermal Emittance and 0.20 Aged Solar Reflectance (steep-sloped), 0.75 Thermal Emittance and 0.55 Aged Solar Reflectance (low-sloped)"
Walls Above Grade | Metal Building,0,,0.181,,Air Barrier - Not Required
Walls Above Grade | Metal Framed,0,,0.181,,
Walls Above Grade | Mass Light,0,,0.43,,
Walls Above Grade | Mass Heavy,0,,0.69,,
Walls Above Grade | Wood Framed and Other,0,,0.092,,
Floors | Mass,,,0.158,,
Floors | Other,,,0.076,,
Slab-On-Grade Floors | Unheated Slabs,,,0.73,,Maximum is an F-Factor.
Slab-On-Grade Floors | Heated Slabs,,5,0.2,16,"R-5 vertical insulation from top of slab down 16 inches or to the frost line, whichever is greater."
Opaque Doors | Non-Swinging,,,1.45,,
Opaque Doors | Swinging,,,0.7,,
,,,,,
table:   Opaque Envelope Requirements | Climate Zone 11,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Metal Buildings,0,,0.037,,"0.75 Thermal Emittance and 0.20 Aged Solar Reflectance (steep-sloped), 0.75 Thermal Emittance and 0.55 Aged Solar Reflectance (low-sloped)"
Roofs | Wood Framed and Other,0,,0.037,,"0.75 Thermal Emittance and 0.20 Aged Solar Reflectance (steep-sloped), 0.75 Thermal Emittance and 0.55 Aged Solar Reflectance (low-sloped)"
Walls Above Grade | Metal Building,0,,0.175,,Air Barrier - Not Required
Walls Above Grade | Metal Framed,0,,0.175,,
Walls Above Grade | Mass Light,0,,0.43,,
Walls Above Grade | Mass Heavy,0,,0.65,,
Walls Above Grade | Wood Framed and Other,0,,0.084,,
Floors | Mass,,,0.097,,
Floors | Other,,,0.076,,
Slab-On-Grade Floors | Unheated Slabs,,,0.73,,Maximum is an F-Factor.
Slab-On-Grade Floors | Heated Slabs,,5,0.2,16,"R-5 vertical insulation from top of slab down 16 inches or to the frost line, whichever is greater."
Opaque Doors | Non-Swinging,,,1.45,,
Opaque Doors | Swinging,,,0.7,,
,,,,,
table:   Opaque Envelope Requirements | Climate Zone 12,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Metal Buildings,0,,0.037,,"0.75 Thermal Emittance and 0.20 Aged Solar Reflectance (steep-sloped), 0.75 Thermal Emittance and 0.55 Aged Solar Reflectance (low-sloped)"
Roofs | Wood Framed and Other,0,,0.037,,"0.75 Thermal Emittance and 0.20 Aged Solar Reflectance (steep-sloped), 0.75 Thermal Emittance and 0.55 Aged Solar Reflectance (low-sloped)"
Walls Above Grade | Metal Building,0,,0.175,,Air Barrier - Not Required
Walls Above Grade | Metal Framed,0,,0.175,,
Walls Above Grade | Mass Light,0,,0.43,,
Walls Above Grade | Mass Heavy,0,,0.65,,
Walls Above Grade | Wood Framed and Other,0,,0.084,,
Floors | Mass,,,0.097,,
Floors | Other,,,0.076,,
Slab-On-Grade Floors | Unheated Slabs,,,0.73,,Maximum is an F-Factor.
Slab-On-Grade Floors | Heated Slabs,,5,0.2,16,"R-5 vertical insulation from top of slab down 16 inches or to the frost line, whichever is greater."
Opaque Doors | Non-Swinging,,,1.45,,
Opaque Doors | Swinging,,,0.7,,
,,,,,
table:   Opaque Envelope Requirements | Climate Zone 13,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Metal Buildings,0,,0.037,,"0.75 Thermal Emittance and 0.20 Aged Solar Reflectance (steep-sloped), 0.75 Thermal Emittance and 0.55 Aged Solar Reflectance (low-sloped)"
Roofs | Wood Framed and Other,0,,0.037,,"0.75 Thermal Emittance and 0.20 Aged Solar Reflectance (steep-sloped), 0.75 Thermal Emittance and 0.55 Aged Solar Reflectance (low-sloped)"
Walls Above Grade | Metal Building,0,,0.175,,Air Barrier - Not Required
Walls Above Grade | Metal Framed,0,,0.175,,
Walls Above Grade | Mass Light,0,,0.43,,
Walls Above Grade | Mass Heavy,0,,0.65,,
Walls Above Grade | Wood Framed and Other,0,,0.084,,
Floors | Mass,,,0.097,,
Floors | Other,,,0.076,,
Slab-On-Grade Floors | Unheated Slabs,,,0.73,,Maximum is an F-Factor.
Slab-On-Grade Floors | Heated Slabs,,5,0.2,16,"R-5 vertical insulation from top of slab down 16 inches or to the frost line, whichever is greater."
Opaque Doors | Non-Swinging,,,1.45,,
Opaque Doors | Swinging,,,0.7,,
,,,,,
table:   Opaque Envelope Requirements | Climate Zone 14,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Metal Buildings,0,,0.037,,"0.75 Thermal Emittance and 0.20 Aged Solar Reflectance (steep-sloped), 0.75 Thermal Emittance and 0.55 Aged Solar Reflectance (low-sloped)"
Roofs | Wood Framed and Other,0,,0.037,,"0.75 Thermal Emittance and 0.20 Aged Solar Reflectance (steep-sloped), 0.75 Thermal Emittance and 0.55 Aged Solar Reflectance (low-sloped)"
Walls Above Grade | Metal Building,0,,0.175,,Air Barrier - Not Required
Walls Above Grade | Metal Framed,0,,0.175,,
Walls Above Grade | Mass Light,0,,0.43,,
Walls Above Grade | Mass Heavy,0,,0.4,,
Walls Above Grade | Wood Framed and Other,0,,0.084,,
Floors | Mass,,,0.097,,
Floors | Other,,,0.076,,
Slab-On-Grade Floors | Unheated Slabs,,,0.73,,Maximum is an F-Factor.
Slab-On-Grade Floors | Heated Slabs,,5,0.2,16,"R-5 vertical insulation from top of slab down 16 inches or to the frost line, whichever is greater."
Opaque Doors | Non-Swinging,,,1.45,,
Opaque Doors | Swinging,,,0.7,,
,,,,,
table:   Opaque Envelope Requirements | Climate Zone 15,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Metal Buildings,0,,0.037,,"0.75 Thermal Emittance and 0.20 Aged Solar Reflectance (steep-sloped), 0.75 Thermal Emittance and 0.55 Aged Solar Reflectance (low-sloped)"
Roofs | Wood Framed and Other,0,,0.037,,"0.75 Thermal Emittance and 0.20 Aged Solar Reflectance (steep-sloped), 0.75 Thermal Emittance and 0.55 Aged Solar Reflectance (low-sloped)"
Walls Above Grade | Metal Building,0,,0.175,,Air Barrier - Not Required
Walls Above Grade | Metal Framed,0,,0.175,,
Walls Above Grade | Mass Light,0,,0.43,,
Walls Above Grade | Mass Heavy,0,,0.4,,
Walls Above Grade | Wood Framed and Other,0,,0.084,,
Floors | Mass,,,0.097,,
Floors | Other,,,0.076,,
Slab-On-Grade Floors | Unheated Slabs,,,0.73,,Maximum is an F-Factor.
Slab-On-Grade Floors | Heated Slabs,,5,0.2,16,"R-5 vertical insulation from top of slab down 16 inches or to the frost line, whichever is greater."
Opaque Doors | Non-Swinging,,,1.45,,
Opaque Doors | Swinging,,,0.7,,
,,,,,
table:   Opaque Envelope Requirements | Climate Zone 16,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Metal Buildings,0,,0.037,,"0.75 Thermal Emittance and 0.20 Aged Solar Reflectance (steep-sloped), 0.75 Thermal Emittance and 0.55 Aged Solar Reflectance (low-sloped)"
Roofs | Wood Framed and Other,0,,0.037,,"0.75 Thermal Emittance and 0.20 Aged Solar Reflectance (steep-sloped), 0.75 Thermal Emittance and 0.55 Aged Solar Reflectance (low-sloped)"
Walls Above Grade | Metal Building,0,,0.14,,Air Barrier - Not Required
Walls Above Grade | Metal Framed,0,,0.14,,
Walls Above Grade | Mass Light,0,,0.34,,
Walls Above Grade | Mass Heavy,0,,0.36,,
Walls Above Grade | Wood Framed and Other,0,,0.063,,
Floors | Mass,,,0.097,,
Floors | Other,,,0.05,,
Slab-On-Grade Floors | Unheated Slabs,,,0.73,,Maximum is an F-Factor.
Slab-On-Grade Floors | Heated Slabs,,10,0.2,16,"R-10 vertical insulation from top of slab down 16 inches or to the frost line, whichever is greater."
Opaque Doors | Non-Swinging,,,1.45,,
Opaque Doors | Swinging,,,0.7,,
,,,,,
table: Fenestration Requirements | Climate Zone 1,max,max,min,,
Fenestration Component,U-Factor,SHGC,VT,Notes,Fenestration Requirements are same for all CZs - copied for each below
Fixed Window | North,0.72,0.88,0.25,,
Operable Window | North,0.72,0.88,0.25,,
Fixed Window,0.72,0.88,0.25,,
Operable Window | Non-North,0.72,0.88,0.25,,
"Skylights | Glass, curb mounted",0.85,0.5,0.25,5% maximum of roof area.,
"Skylights | Glass, deck mounted",0.85,0.5,0.25,5% maximum of roof area.,
"Skylights | Plastic, curb mounted",0.85,0.81,0.25,5% maximum of roof area.,
Skylights | Tubular Daylighting Devices (TDDs),0.85,0.81,0.25,5% maximum of roof area.,
,,,,,
table: Fenestration Requirements | Climate Zone 2,max,max,min,,
Fenestration Component,U-Factor,SHGC,VT,Notes,
Fixed Window | North,1.23,0.94,0.25,,
Operable Window | North,1.23,0.94,0.25,,
Fixed Window,1.23,0.94,0.25,,
Operable Window | Non-North,1.23,0.94,0.25,,
"Skylights | Glass, curb mounted",1.31,0.7,0.25,5% maximum of roof area.,
"Skylights | Glass, deck mounted",1.31,0.7,0.25,5% maximum of roof area.,
"Skylights | Plastic, curb mounted",1.31,0.86,0.25,5% maximum of roof area.,
Skylights | Tubular Daylighting Devices (TDDs),1.31,0.86,0.25,5% maximum of roof area.,
,,,,,
table: Fenestration Requirements | Climate Zone 3,max,max,min,,
Fenestration Component,U-Factor,SHGC,VT,Notes,
Fixed Window | North,1.23,0.94,0.25,,
Operable Window | North,1.23,0.94,0.25,,
Fixed Window,1.23,0.94,0.25,,
Operable Window | Non-North,1.23,0.94,0.25,,
"Skylights | Glass, curb mounted",1.31,0.7,0.25,5% maximum of roof area.,
"Skylights | Glass, deck mounted",1.31,0.7,0.25,5% maximum of roof area.,
"Skylights | Plastic, curb mounted",1.31,0.86,0.25,5% maximum of roof area.,
Skylights | Tubular Daylighting Devices (TDDs),1.31,0.86,0.25,5% maximum of roof area.,
,,,,,
table: Fenestration Requirements | Climate Zone 4,max,max,min,,
Fenestration Component,U-Factor,SHGC,VT,Notes,
Fixed Window | North,1.23,0.94,0.25,,
Operable Window | North,1.23,0.94,0.25,,
Fixed Window,1.23,0.94,0.25,,
Operable Window | Non-North,1.23,0.94,0.25,,
"Skylights | Glass, curb mounted",1.31,0.7,0.25,5% maximum of roof area.,
"Skylights | Glass, deck mounted",1.31,0.7,0.25,5% maximum of roof area.,
"Skylights | Plastic, curb mounted",1.31,0.86,0.25,5% maximum of roof area.,
Skylights | Tubular Daylighting Devices (TDDs),1.31,0.86,0.25,5% maximum of roof area.,
,,,,,
table: Fenestration Requirements | Climate Zone 5,max,max,min,,
Fixed Window | North,U-Factor,SHGC,VT,Notes,
Operable Window | North,1.23,0.94,0.25,,
Fixed Window,1.23,0.94,0.25,,
Operable Window | Non-North,1.23,0.94,0.25,,
Glazed Doors,1.23,0.94,0.25,,
"Skylights | Glass, curb mounted",1.31,0.7,0.25,5% maximum of roof area.,
"Skylights | Glass, deck mounted",1.31,0.7,0.25,5% maximum of roof area.,
"Skylights | Plastic, curb mounted",1.31,0.86,0.25,5% maximum of roof area.,
Skylights | Tubular Daylighting Devices (TDDs),1.31,0.86,0.25,5% maximum of roof area.,
,,,,,
table: Fenestration Requirements | Climate Zone 6,max,max,min,,
Fenestration Component,U-Factor,SHGC,VT,Notes,
Fixed Window | North,1.23,0.94,0.25,,
Operable Window | North,1.23,0.94,0.25,,
Fixed Window,1.23,0.71,0.25,,
Operable Window | Non-North,1.23,0.71,0.25,,
"Skylights | Glass, curb mounted",1.31,0.7,0.25,5% maximum of roof area.,
"Skylights | Glass, deck mounted",1.31,0.7,0.25,5% maximum of roof area.,
"Skylights | Plastic, curb mounted",1.31,0.86,0.25,5% maximum of roof area.,
Skylights | Tubular Daylighting Devices (TDDs),1.31,0.86,0.25,5% maximum of roof area.,
,,,,,
table: Fenestration Requirements | Climate Zone 7,max,max,min,,
Fixed Window | North,U-Factor,SHGC,VT,Notes,
Operable Window | North,1.23,0.94,0.25,,
Fixed Window,1.23,0.94,0.25,,
Operable Window | Non-North,1.23,0.71,0.25,,
Glazed Doors,1.23,0.71,0.25,,
"Skylights | Glass, curb mounted",1.31,0.7,0.25,5% maximum of roof area.,
"Skylights | Glass, deck mounted",1.31,0.7,0.25,5% maximum of roof area.,
"Skylights | Plastic, curb mounted",1.31,0.86,0.25,5% maximum of roof area.,
Skylights | Tubular Daylighting Devices (TDDs),1.31,0.86,0.25,5% maximum of roof area.,
,,,,,
table: Fenestration Requirements | Climate Zone 8,max,max,min,,
Fenestration Component,U-Factor,SHGC,VT,Notes,
Fixed Window | North,1.23,0.94,0.25,,
Operable Window | North,1.23,0.94,0.25,,
Fixed Window,1.23,0.71,0.25,,
Operable Window | Non-North,1.23,0.71,0.25,,
"Skylights | Glass, curb mounted",1.31,0.7,0.25,5% maximum of roof area.,
"Skylights | Glass, deck mounted",1.31,0.7,0.25,5% maximum of roof area.,
"Skylights | Plastic, curb mounted",1.31,0.86,0.25,5% maximum of roof area.,
Skylights | Tubular Daylighting Devices (TDDs),1.31,0.86,0.25,5% maximum of roof area.,
,,,,,
table: Fenestration Requirements | Climate Zone 9,max,max,min,,
Fenestration Component,U-Factor,SHGC,VT,Notes,
Fixed Window | North,1.23,0.94,0.25,,
Operable Window | North,1.23,0.94,0.25,,
Fixed Window,1.23,0.71,0.25,,
Operable Window | Non-North,1.23,0.71,0.25,,
"Skylights | Glass, curb mounted",1.31,0.7,0.25,5% maximum of roof area.,
"Skylights | Glass, deck mounted",1.31,0.7,0.25,5% maximum of roof area.,
"Skylights | Plastic, curb mounted",1.31,0.86,0.25,5% maximum of roof area.,
Skylights | Tubular Daylighting Devices (TDDs),1.31,0.86,0.25,5% maximum of roof area.,
,,,,,
table: Fenestration Requirements | Climate Zone 10,max,max,min,,
Fenestration Component,U-Factor,SHGC,VT,Notes,
Fixed Window | North,1.23,0.94,0.25,,
Operable Window | North,1.23,0.94,0.25,,
Fixed Window,1.23,0.71,0.25,,
Operable Window | Non-North,1.23,0.71,0.25,,
"Skylights | Glass, curb mounted",1.31,0.7,0.25,5% maximum of roof area.,
"Skylights | Glass, deck mounted",1.31,0.7,0.25,5% maximum of roof area.,
"Skylights | Plastic, curb mounted",1.31,0.86,0.25,5% maximum of roof area.,
Skylights | Tubular Daylighting Devices (TDDs),1.31,0.86,0.25,5% maximum of roof area.,
,,,,,
table: Fenestration Requirements | Climate Zone 11,max,max,min,,
Fenestration Component,U-Factor,SHGC,VT,Notes,
Fixed Window | North,0.72,0.88,0.25,,
Operable Window | North,0.72,0.88,0.25,,
Fixed Window,0.72,0.57,0.25,,
Operable Window | Non-North,0.72,0.57,0.25,,
"Skylights | Glass, curb mounted",0.85,0.5,0.25,5% maximum of roof area.,
"Skylights | Glass, deck mounted",0.85,0.5,0.25,5% maximum of roof area.,
"Skylights | Plastic, curb mounted",0.85,0.81,0.25,5% maximum of roof area.,
Skylights | Tubular Daylighting Devices (TDDs),0.85,0.81,0.25,5% maximum of roof area.,
,,,,,
table: Fenestration Requirements | Climate Zone 12,max,max,min,,
Fenestration Component,U-Factor,SHGC,VT,Notes,
Fixed Window | North,0.72,0.88,0.25,,
Operable Window | North,0.72,0.88,0.25,,
Fixed Window,0.72,0.57,0.25,,
Operable Window | Non-North,0.72,0.57,0.25,,
"Skylights | Glass, curb mounted",0.85,0.5,0.25,5% maximum of roof area.,
"Skylights | Glass, deck mounted",0.85,0.5,0.25,5% maximum of roof area.,
"Skylights | Plastic, curb mounted",0.85,0.81,0.25,5% maximum of roof area.,
Skylights | Tubular Daylighting Devices (TDDs),0.85,0.81,0.25,5% maximum of roof area.,
,,,,,
table: Fenestration Requirements | Climate Zone 13,max,max,min,,
Fenestration Component,U-Factor,SHGC,VT,Notes,
Fixed Window | North,0.72,0.88,0.25,,
Operable Window | North,0.72,0.88,0.25,,
Fixed Window,0.72,0.57,0.25,,
Operable Window | Non-North,0.72,0.57,0.25,,
"Skylights | Glass, curb mounted",0.85,0.5,0.25,5% maximum of roof area.,
"Skylights | Glass, deck mounted",0.85,0.5,0.25,5% maximum of roof area.,
"Skylights | Plastic, curb mounted",0.85,0.81,0.25,5% maximum of roof area.,
Skylights | Tubular Daylighting Devices (TDDs),0.85,0.81,0.25,5% maximum of roof area.,
,,,,,
table: Fenestration Requirements | Climate Zone 14,max,max,min,,
Fenestration Component,U-Factor,SHGC,VT,Notes,
Fixed Window | North,0.72,0.88,0.25,,
Operable Window | North,0.72,0.88,0.25,,
Fixed Window,0.72,0.57,0.25,,
Operable Window | Non-North,0.72,0.57,0.25,,
