title: 2016 ASHRAE Standard Code,,,,,
# This is all TBD:,,,,,
# For opaque envelope: see Table 5.5,,,,,
# For fenestration: see Table 5.5,,,,,
table:   Opaque Envelope Requirements | Climate Zone 1A   ,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Opaque Doors | Roll-Up or Sliding,,,1.45,,
,,,,,
table:   Opaque Envelope Requirements | Climate Zone 2B   ,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Insulation Entirely Above Deck,0,15,0.063,,
Roofs | Metal Buildings,0,19,0.065,,
Roofs | Attic and Other,30,0,0.034,,
Walls Above Grade | Mass,0,0,0.58,,
Walls Above Grade | Metal Building,0,13,0.113,,
Walls Above Grade | Metal Framed,13,0,0.124,,
Walls Above Grade | Wood Framed and Other,13,0,0.089,,
Walls Below Grade | Below Grade Wall,0,0,1.14,,Maximum is a C-Factor.
Floors | Mass,0,4.2,0.137,,
Floors | Joist/Framing,19,0,0.052,,
Floors | Framed and Other,0,0,0.051,,
Slab-On-Grade Floors | Unheated Slabs,0,0,0.73,,Maximum is an F-Factor.
Slab-On-Grade Floors | Heated Slabs,0,7.5,1.02,12,Maximum is an F-Factor.
Opaque Doors | Swinging,,,0.7,,
Opaque Doors | Roll-Up or Sliding,,,1.45,,
,,,,,
table:   Opaque Envelope Requirements | Climate Zone 3A   ,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Insulation Entirely Above Deck,0,15,0.063,,
Roofs | Metal Buildings,0,19,0.065,,
Roofs | Attic and Other,30,0,0.034,,
Walls Above Grade | Mass,0,5.7,0.151,,
Walls Above Grade | Metal Building,0,13,0.113,,
Walls Above Grade | Metal Framed,13,0,0.124,,
Walls Above Grade | Wood Framed and Other,13,0,0.089,,
Walls Below Grade | Below Grade Wall,0,0,1.14,,Maximum is a C-Factor.
Floors | Mass,0,6.3,0.107,,
Floors | Joist/Framing,19,0,0.052,,
Floors | Framed and Other,19,0,0.051,,
Slab-On-Grade Floors | Unheated Slabs,0,0,0.73,,Maximum is an F-Factor.
Slab-On-Grade Floors | Heated Slabs,0,7.5,1.02,12,Maximum is an F-Factor.
Opaque Doors | Swinging,,,0.7,,
Opaque Doors | Roll-Up or Sliding,,,1.45,,
,,,,,
table:   Opaque Envelope Requirements | Climate Zone 3B   ,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Insulation Entirely Above Deck,0,15,0.063,,
Roofs | Metal Buildings,0,19,0.065,,
Roofs | Attic and Other,30,0,0.034,,
Walls Above Grade | Mass,0,5.7,0.151,,
Walls Above Grade | Metal Building,0,13,0.113,,
Walls Above Grade | Metal Framed,13,0,0.124,,
Walls Above Grade | Wood Framed and Other,13,0,0.089,,
Walls Below Grade | Below Grade Wall,0,0,1.14,,Maximum is a C-Factor.
Floors | Mass,0,6.3,0.107,,
Floors | Joist/Framing,19,0,0.052,,
Floors | Framed and Other,19,0,0.051,,
Slab-On-Grade Floors | Unheated Slabs,0,0,0.73,,Maximum is an F-Factor.
Slab-On-Grade Floors | Heated Slabs,0,7.5,1.02,12,Maximum is an F-Factor.
Opaque Doors | Swinging,,,0.7,,
Opaque Doors | Roll-Up or Sliding,,,1.45,,
,,,,,
table:   Opaque Envelope Requirements | Climate Zone 3C   ,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Insulation Entirely Above Deck,0,15,0.063,,
Roofs | Metal Buildings,0,19,0.065,,
Roofs | Attic and Other,30,0,0.034,,
Walls Above Grade | Mass,0,5.7,0.151,,
Walls Above Grade | Metal Building,0,13,0.113,,
Walls Above Grade | Metal Framed,13,0,0.124,,
Walls Above Grade | Wood Framed and Other,13,0,0.089,,
Walls Below Grade | Below Grade Wall,0,0,1.14,,Maximum is a C-Factor.
Floors | Mass,0,6.3,0.107,,
Floors | Joist,19,0,0.052,,
Floors | Framed and Other,19,0,0.051,,
Slab-On-Grade Floors | Unheated Slabs,0,0,0.73,,Maximum is an F-Factor.
Slab-On-Grade Floors | Heated Slabs,0,7.5,1.02,12,Maximum is an F-Factor.
Opaque Doors | Swinging,,,0.7,,
Opaque Doors | Roll-Up or Sliding,,,1.45,,
,,,,,
table:   Opaque Envelope Requirements | Climate Zone 4A  ,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Insulation Entirely Above Deck,0,15,0.063,,
Roofs | Metal Buildings,0,19,0.065,,
Roofs | Attic and Other,30,0,0.034,,
Walls Above Grade | Mass,0,5.7,0.151,,
Walls Above Grade | Metal Building,0,13,0.113,,
Walls Above Grade | Metal Framed,13,0,0.124,,
Walls Above Grade | Wood Framed and Other,13,0,0.089,,
Walls Below Grade | Below Grade Wall,0,0,1.14,,Maximum is a C-Factor.
Floors | Mass,0,6.3,0.107,,
Floors | Joist,19,0,0.052,,
Floors | Framed and Other,19,0,0.051,,
Slab-On-Grade Floors | Unheated Slabs,0,0,0.73,24,Maximum is an F-Factor.
Slab-On-Grade Floors | Heated Slabs,0,7.5,0.95,24,Maximum is an F-Factor.
Opaque Doors | Swinging,,,0.7,,
Opaque Doors | Roll-Up or Sliding,,,1.45,,
,,,,,
table:   Opaque Envelope Requirements | Climate Zone 4B ,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Insulation Entirely Above Deck,0,15,0.063,,
Roofs | Metal Buildings,0,19,0.065,,
Roofs | Attic and Other,30,0,0.034,,
Walls Above Grade | Mass,0,5.7,0.151,,
Walls Above Grade | Metal Building,0,13,0.113,,
Walls Above Grade | Metal Framed,13,0,0.124,,
Walls Above Grade | Wood Framed and Other,13,0,0.089,,
Walls Below Grade | Below Grade Wall,0,0,1.14,,Maximum is a C-Factor.
Floors | Mass,0,6.3,0.107,,
Floors | Joist,19,0,0.052,,
Floors | Framed and Other,19,0,0.051,,
Slab-On-Grade Floors | Unheated Slabs,0,0,0.73,24,Maximum is an F-Factor.
Slab-On-Grade Floors | Heated Slabs,0,7.5,0.95,24,Maximum is an F-Factor.
Opaque Doors | Swinging,,,0.7,,
Opaque Doors | Roll-Up or Sliding,,,1.45,,
,,,,,
table:   Opaque Envelope Requirements | Climate Zone 4C  ,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Insulation Entirely Above Deck,0,15,0.063,,
Roofs | Metal Buildings,0,19,0.065,,
Roofs | Attic and Other,30,0,0.034,,
Walls Above Grade | Mass,0,5.7,0.151,,
Walls Above Grade | Metal Building,0,13,0.113,,
Walls Above Grade | Metal Framed,13,0,0.124,,
Walls Above Grade | Wood Framed and Other,13,0,0.089,,
Walls Below Grade | Below Grade Wall,0,0,1.14,,Maximum is a C-Factor.
Floors | Mass,0,6.3,0.107,,
Floors | Joist,19,0,0.052,,
Floors | Framed and Other,19,0,0.051,,
Slab-On-Grade Floors | Unheated Slabs,0,0,0.73,24,Maximum is an F-Factor.
Slab-On-Grade Floors | Heated Slabs,0,7.5,0.95,24,Maximum is an F-Factor.
Opaque Doors | Swinging,,,0.7,,
Opaque Doors | Roll-Up or Sliding,,,1.45,,
,,,,,
table: Opaque Envelope Requirements | Climate Zone 5A,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Insulation Entirely Above Deck,0,15,0.063,,
Roofs | Metal Buildings,0,19,0.065,,
Roofs | Attic and Other,30,0,0.034,,
Walls Above Grade | Mass,0,7.6,0.123,,
Walls Above Grade | Metal Building,0,13,0.113,,
Walls Above Grade | Metal Framed,13,3.8,0.084,,
Walls Above Grade | Wood Framed and Other,13,0,0.089,,
Walls Below Grade | Below Grade Wall,0,0,1.14,,Maximum is a C-Factor.
Floors | Mass,0,8.3,0.087,,
Floors | Joist,30,0,0.052,,
Floors | Framed and Other,30,0,0.033,,
Slab-On-Grade Floors | Unheated Slabs,0,0,0.73,,Maximum is an F-Factor.
Slab-On-Grade Floors | Heated Slabs,0,10,0.84,36,Maximum is an F-Factor.
Opaque Doors | Swinging,,,0.7,,
Opaque Doors | Roll-Up or Sliding,,,1.45,,
,,,,,
table: Opaque Envelope Requirements | Climate Zone 5B,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Insulation Entirely Above Deck,0,15,0.063,,
Roofs | Metal Buildings,0,19,0.065,,
Roofs | Attic and Other,30,0,0.034,,
Walls Above Grade | Mass,0,7.6,0.123,,
Walls Above Grade | Metal Building,0,13,0.113,,
Walls Above Grade | Metal Framed,13,3.8,0.084,,
Walls Above Grade | Wood Framed and Other,13,0,0.089,,
Walls Below Grade | Below Grade Wall,0,0,1.14,,Maximum is a C-Factor.
Floors | Mass,0,8.3,0.087,,
Floors | Joist,30,0,0.052,,
Floors | Framed and Other,30,0,0.033,,
Slab-On-Grade Floors | Unheated Slabs,0,0,0.73,,Maximum is an F-Factor.
Slab-On-Grade Floors | Heated Slabs,0,10,0.84,36,Maximum is an F-Factor.
Opaque Doors | Swinging,,,0.7,,
Opaque Doors | Roll-Up or Sliding,,,1.45,,
,,,,,
table: Opaque Envelope Requirements | Climate Zone 5C,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Insulation Entirely Above Deck,0,15,0.063,,
Roofs | Metal Buildings,0,19,0.065,,
Roofs | Attic and Other,30,0,0.034,,
Walls Above Grade | Mass,0,7.6,0.123,,
Walls Above Grade | Metal Building,0,13,0.113,,
Walls Above Grade | Metal Framed,13,3.8,0.084,,
Walls Above Grade | Wood Framed and Other,13,0,0.089,,
Walls Below Grade | Below Grade Wall,0,0,1.14,,Maximum is a C-Factor.
Floors | Mass,0,8.3,0.087,,
Floors | Joist,30,0,0.052,,
Floors | Framed and Other,30,0,0.033,,
Slab-On-Grade Floors | Unheated Slabs,0,0,0.73,,Maximum is an F-Factor.
Slab-On-Grade Floors | Heated Slabs,0,10,0.84,36,Maximum is an F-Factor.
Opaque Doors | Swinging,,,0.7,,
Opaque Doors | Roll-Up or Sliding,,,1.45,,
,,,,,
table: Opaque Envelope Requirements | Climate Zone 6A,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Insulation Entirely Above Deck,0,15,0.063,,
Roofs | Metal Buildings,0,19,0.065,,
Roofs | Attic and Other,38,0,0.027,,
Walls Above Grade | Mass,0,9.5,0.104,,
Walls Above Grade | Metal Building,0,13,0.113,,
Walls Above Grade | Metal Framed,13,3.8,0.084,,
Walls Above Grade | Wood Framed and Other,13,0,0.089,,
Walls Below Grade | Below Grade Wall,0,0,1.14,,Maximum is a C-Factor.
Floors | Mass,0,8.3,0.087,,
Floors | Joist,30,0,0.038,,
Floors | Framed and Other,30,0,0.033,,
Slab-On-Grade Floors | Unheated Slabs,0,0,0.73,,Maximum is an F-Factor.
Slab-On-Grade Floors | Heated Slabs,0,10,0.84,36,Maximum is an F-Factor.
Opaque Doors | Swinging,,,0.7,,
Opaque Doors | Roll-Up or Sliding,,,0.5,,
,,,,,
table: Opaque Envelope Requirements | Climate Zone 6B,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Insulation Entirely Above Deck,0,15,0.063,,
Roofs | Metal Buildings,0,19,0.065,,
Roofs | Attic and Other,38,0,0.027,,
Walls Above Grade | Mass,0,9.5,0.104,,
Walls Above Grade | Metal Building,0,13,0.113,,
Walls Above Grade | Metal Framed,13,3.8,0.084,,
Walls Above Grade | Wood Framed and Other,13,0,0.089,,
Walls Below Grade | Below Grade Wall,0,0,1.14,,Maximum is a C-Factor.
Floors | Mass,0,8.3,0.087,,
Floors | Joist,30,0,0.038,,
Floors | Framed and Other,30,0,0.033,,
Slab-On-Grade Floors | Unheated Slabs,0,0,0.73,,Maximum is an F-Factor.
Slab-On-Grade Floors | Heated Slabs,0,10,0.84,36,Maximum is an F-Factor.
Opaque Doors | Swinging,,,0.7,,
Opaque Doors | Roll-Up or Sliding,,,0.5,,
,,,,,
table: Opaque Envelope Requirements | Climate Zone 7,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Insulation Entirely Above Deck,0,15,0.063,,
Roofs | Metal Buildings,0,19,0.065,,
Roofs | Attic and Other,38,0,0.027,,
Walls Above Grade | Mass,0,11.4,0.09,,
Walls Above Grade | Metal Building,13,13,0.57,,
Walls Above Grade | Metal Framed,13,7.5,0.064,,
Walls Above Grade | Wood Framed and Other,13,0,0.089,,
Walls Below Grade | Below Grade Wall,0,7.5,0.119,,Maximum is a C-Factor.
Floors | Mass,0,8.3,0.087,,
Floors | Joist,30,0,0.038,,
Floors | Framed and Other,30,0,0.033,,
Slab-On-Grade Floors | Unheated Slabs,0,0,0.73,,Maximum is an F-Factor.
Slab-On-Grade Floors | Heated Slabs,0,10,0.84,36,Maximum is an F-Factor.
Opaque Doors | Swinging,,,0.7,,
Opaque Doors | Roll-Up or Sliding,,,0.5,,
,,,,,
table: Opaque Envelope Requirements | Climate Zone 8,,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent,Notes
Roofs | Insulation Entirely Above Deck,0,20,0.048,,
Roofs | Metal Buildings,13,19,0.049,,
Roofs | Attic and Other,38,0,0.027,,
Walls Above Grade | Mass,0,13,0.08,,
Walls Above Grade | Metal Building,13,13,0.057,,
Walls Above Grade | Metal Framed,13,7.5,0.064,,
Walls Above Grade | Wood Framed and Other,13,7.5,0.051,,
Walls Below Grade | Below Grade Wall,0,7.5,0.119,,Maximum is a C-Factor.
Floors | Mass,0,12.5,0.064,,
Floors | Joist,30,0,0.038,,
Floors | Framed and Other,30,0,0.033,,
Slab-On-Grade Floors | Unheated Slabs,0,10,0.54,24,Maximum is an F-Factor.
Slab-On-Grade Floors | Heated Slabs,0,10,0.78,48,Maximum is an F-Factor.
Opaque Doors | Swinging,,,0.5,,
Opaque Doors | Roll-Up or Sliding,,,0.5,,
,,,,,
table: Fenestration Requirements | Climate Zone 1A,,,,,
Fenestration Component,U-Factor,SHGC,Notes,,
Non-Metal Framing,1.22,0.19,,,
Metal Framing | Fixed,1.22,0.19,,,
Metal Framing | Entrance Door,1.22,0.19,,,
Metal Framing | All Other,1.22,0.19,,,
Skylights,1.36,0.19,5% maximum of roof area.,,
,,,,,
table: Fenestration Requirements | Climate Zone 1B,,,,,
Fenestration Component,U-Factor,SHGC,Notes,,
Non-Metal Framing,1.22,0.19,,,
Metal Framing | Fixed,1.22,0.19,,,
Metal Framing | Entrance Door,1.22,0.19,,,
Metal Framing | All Other,1.22,0.19,,,
Skylights,1.36,0.19,5% maximum of roof area.,,
,,,,,
table: Fenestration Requirements | Climate Zone 2A,,,,,
Fenestration Component,U-Factor,SHGC,Notes,,
Non-Metal Framing,1.22,0.17,,,
Metal Framing | Fixed,1.22,0.17,,,
Metal Framing | Entrance Door,1.22,0.17,,,
Metal Framing | All Other,1.22,0.17,,,
Skylights,1.36,0.19,5% maximum of roof area.,,
,,,,,
table: Fenestration Requirements | Climate Zone 2B,,,,,
Fenestration Component,U-Factor,SHGC,Notes,,
Non-Metal Framing,1.22,0.17,,,
Metal Framing | Fixed,1.22,0.17,,,
Metal Framing | Entrance Door,1.22,0.17,,,
Metal Framing | All Other,1.22,0.17,,,
Skylights,1.36,0.19,5% maximum of roof area.,,
,,,,,
table: Fenestration Requirements | Climate Zone 3A,,,,,
Fenestration Component,U-Factor,SHGC,Notes,,
Non-Metal Framing,0.46,0.19,,,
Metal Framing | Fixed,0.46,0.19,,,
Metal Framing | Entrance Door,0.46,0.19,,,
Metal Framing | All Other,0.46,0.19,,,
Skylights,0.69,0.19,5% maximum of roof area.,,
,,,,,
table: Fenestration Requirements | Climate Zone 3B,,,,,
Fenestration Component,U-Factor,SHGC,Notes,,
Non-Metal Framing,0.46,0.19,,,
Metal Framing | Fixed,0.46,0.19,,,
Metal Framing | Entrance Door,0.46,0.19,,,
Metal Framing | All Other,0.46,0.19,,,
Skylights,0.69,0.19,5% maximum of roof area.,,
,,,,,
table: Fenestration Requirements | Climate Zone 3C,,,,,
Fenestration Component,U-Factor,SHGC,Notes,,
Non-Metal Framing,1.22,0.2,,,
Metal Framing | Fixed,1.22,0.2,,,
Metal Framing | Entrance Door,1.22,0.2,,,
Metal Framing | All Other,1.22,0.2,,,
Skylights,1.36,0.39,5% maximum of roof area.,,
,,,,,
table: Fenestration Requirements | Climate Zone 4A,,,,,
Fenestration Component,U-Factor,SHGC,Notes,,
Non-Metal Framing,0.46,0.25,,,
Metal Framing | Fixed,0.46,0.25,,,
Metal Framing | Entrance Door,0.46,0.25,,,
Metal Framing | All Other,0.46,0.25,,,
Skylights,0.69,0.39,5% maximum of roof area.,,
,,,,,
table: Fenestration Requirements | Climate Zone 4B,,,,,
Fenestration Component,U-Factor,SHGC,Notes,,
Non-Metal Framing,0.46,0.25,,,
Metal Framing | Fixed,0.46,0.25,,,
Metal Framing | Entrance Door,0.46,0.25,,,
Metal Framing | All Other,0.46,0.25,,,
Skylights,0.69,0.39,5% maximum of roof area.,,
,,,,,
table: Fenestration Requirements | Climate Zone 4C,,,,,
Fenestration Component,U-Factor,SHGC,Notes,,
Non-Metal Framing,0.46,0.25,,,
Metal Framing | Fixed,0.46,0.25,,,
Metal Framing | Entrance Door,0.46,0.25,,,
Metal Framing | All Other,0.46,0.25,,,
Skylights,0.69,0.39,5% maximum of roof area.,,
,,,,,
table: Fenestration Requirements | Climate Zone 5A,,,,,
Fenestration Component,U-Factor,SHGC,Notes,,
Non-Metal Framing,0.46,0.26,,,
Metal Framing | Fixed,0.46,0.26,,,
Metal Framing | Entrance Door,0.46,0.26,,,
Metal Framing | All Other,0.46,0.26,,,
Skylights,0.69,0.39,5% maximum of roof area.,,
,,,,,
table: Fenestration Requirements | Climate Zone 5B,,,,,
Fenestration Component,U-Factor,SHGC,Notes,,
Non-Metal Framing,0.46,0.26,,,
Metal Framing | Fixed,0.46,0.26,,,
Metal Framing | Entrance Door,0.46,0.26,,,
Metal Framing | All Other,0.46,0.26,,,
Skylights,0.69,0.39,5% maximum of roof area.,,
,,,,,
table: Fenestration Requirements | Climate Zone 5C,,,,,
Fenestration Component,U-Factor,SHGC,Notes,,
Non-Metal Framing,0.46,0.26,,,
Metal Framing | Fixed,0.46,0.26,,,
Metal Framing | Entrance Door,0.46,0.26,,,
Metal Framing | All Other,0.46,0.26,,,
Skylights,0.69,0.39,5% maximum of roof area.,,
,,,,,
table: Fenestration Requirements | Climate Zone 6A,,,,,
Fenestration Component,U-Factor,SHGC,Notes,,
Non-Metal Framing,0.46,0.26,,,
Metal Framing | Fixed,0.46,0.26,,,
Metal Framing | Entrance Door,0.46,0.26,,,
Metal Framing | All Other,0.46,0.26,,,
Skylights,0.69,0.49,5% maximum of roof area.,,
,,,,,
table: Fenestration Requirements | Climate Zone 6B,,,,,
Fenestration Component,U-Factor,SHGC,Notes,,
Non-Metal Framing,0.46,0.26,,,
Metal Framing | Fixed,0.46,0.26,,,
Metal Framing | Entrance Door,0.46,0.26,,,
Metal Framing | All Other,0.46,0.26,,,
Skylights,0.69,0.49,5% maximum of roof area.,,
,,,,,
table: Fenestration Requirements | Climate Zone 7,,,,,
Fenestration Component,U-Factor,SHGC,Notes,,
Non-Metal Framing,0.46,0.36,,,
Metal Framing | Fixed,0.46,0.36,,,
Metal Framing | Entrance Door,0.46,0.36,,,
Metal Framing | All Other,0.46,0.36,,,
Skylights,0.69,0.64,5% maximum of roof area.,,
,,,,,
table: Fenestration Requirements | Climate Zone 8,,,,,
Fenestration Component,U-Factor,SHGC,Notes,,
Non-Metal Framing,0.35,0.36,NR for SHGC,,
Metal Framing | Fixed,0.35,0.36,NR for SHGC,,
Metal Framing | Entrance Door,0.35,0.36,NR for SHGC,,
Metal Framing | All Other,0.35,0.36,NR for SHGC,,
Skylights,0.58,0.64,5% maximum of roof area. NR for SHGC,,
