table:   Opaque Envelope Requirements | Climate Zone 1,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Wood Framed and Other,0,0,0.054806234,0
Roofs | Metal Buildings,0,0,0.062199305,0
Roofs | Mass Heavy,0,0,0.070951919,0
Walls Above Grade | Wood Framed and Other,0,0,0.079267622,0
Walls Above Grade | Metal Framed,0,0,0.133051265,0
Walls Above Grade | Mass Heavy,0,0,0.406979907,0
Floor | Above Crawl Space,0,0,0.110667701,0
Floors | Mass,0,0,0.190878245,0
Floors | Other,0,0,0.063923754,0
Slab-On-Grade Floors | Unheated Slabs,0,0,0.73,0
Slab-On-Grade Floors | Heated Slabs,0,5,0.2,16
Opaque Doors | Non-Swinging,0,0,1.45,0
Opaque Doors | Swinging,0,0,0.7,0
Walls Above Grade | Metal Building,0,0,0.112858731,0
Walls Above Grade | Mass Light,0,0,0.281795505,0
,,,,
table:   Opaque Envelope Requirements | Climate Zone 11,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Wood Framed and Other,0,0,0.061912773,0
Roofs | Metal Buildings,0,0,0.066952492,0
Roofs | Mass Heavy,0,0,0.07709327,0
Walls Above Grade | Wood Framed and Other,0,0,0.081768692,0
Walls Above Grade | Metal Framed,0,0,0.141588785,0
Walls Above Grade | Mass Heavy,0,0,0.269055296,0
Floor | Above Crawl Space,0,0,0.167304604,0
Floors | Mass,0,0,0.087049844,0
Floors | Other,0,0,0.045281931,0
Slab-On-Grade Floors | Unheated Slabs,0,0,0.73,0
Slab-On-Grade Floors | Heated Slabs,0,5,0.2,16
Opaque Doors | Non-Swinging,0,0,1.45,0
Opaque Doors | Swinging,0,0,0.7,0
Walls Above Grade | Metal Building,0,0,0.117514874,0
Walls Above Grade | Mass Light,0,0,0.299702517,0
,,,,
table:   Opaque Envelope Requirements | Climate Zone 12,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Wood Framed and Other,0,0,0.058417934,0
Roofs | Metal Buildings,0,0,0.064023206,0
Roofs | Mass Heavy,0,0,0.076595178,0
Walls Above Grade | Wood Framed and Other,0,0,0.08334426,0
Walls Above Grade | Metal Framed,0,0,0.141860088,0
Walls Above Grade | Mass Heavy,0,0,0.307667343,0
Floor | Above Crawl Space,0,0,0.16271109,0
Floors | Mass,0,0,0.086672299,0
Floors | Other,0,0,0.066052157,0
Slab-On-Grade Floors | Unheated Slabs,0,0,0.73,0
Slab-On-Grade Floors | Heated Slabs,0,5,0.2,16
Opaque Doors | Non-Swinging,0,0,1.45,0
Opaque Doors | Swinging,0,0,0.7,0
Walls Above Grade | Metal Building,0,0,0.122543337,0
Walls Above Grade | Mass Light,0,0,0.311267606,0
,,,,
table:   Opaque Envelope Requirements | Climate Zone 13,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Wood Framed and Other,0,0,0.061670076,0
Roofs | Metal Buildings,0,0,0.066682934,0
Roofs | Mass Heavy,0,0,0.076602032,0
Walls Above Grade | Wood Framed and Other,0,0,0.084387931,0
Walls Above Grade | Metal Framed,0,0,0.140936733,0
Walls Above Grade | Mass Heavy,0,0,0.272984804,0
Floor | Above Crawl Space,0,0,0.162774293,0
Floors | Mass,0,0,0.08705903,0
Floors | Other,0,0,0.066399182,0
Slab-On-Grade Floors | Unheated Slabs,0,0,0.73,0
Slab-On-Grade Floors | Heated Slabs,0,5,0.2,16
Opaque Doors | Non-Swinging,0,0,1.45,0
Opaque Doors | Swinging,0,0,0.7,0
Walls Above Grade | Metal Building,0,0,0.117142055,0
Walls Above Grade | Mass Light,0,0,0.299326425,0
,,,,
table:   Opaque Envelope Requirements | Climate Zone 14,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Wood Framed and Other,0,0,0.055549284,0
Roofs | Metal Buildings,0,0,0.062476552,0
Roofs | Mass Heavy,0,0,0.071838068,0
Walls Above Grade | Wood Framed and Other,0,0,0.075630722,0
Walls Above Grade | Metal Framed,0,0,0.1332328,0
Walls Above Grade | Mass Heavy,0,0,0.22652064,0
Floor | Above Crawl Space,0,0,0.118839962,0
Floors | Mass,0,0,0.08701713,0
Floors | Other,0,0,0.044195451,0
Slab-On-Grade Floors | Unheated Slabs,0,0,0.73,0
Slab-On-Grade Floors | Heated Slabs,0,5,0.2,16
Opaque Doors | Non-Swinging,0,0,1.45,0
Opaque Doors | Swinging,0,0,0.7,0
Walls Above Grade | Metal Building,0,0,0.108383713,0
Walls Above Grade | Mass Light,0,0,0.279993099,0
,,,,
table:   Opaque Envelope Requirements | Climate Zone 15,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Wood Framed and Other,0,0,0.053588506,0
Roofs | Metal Buildings,0,0,0.060977775,0
Roofs | Mass Heavy,0,0,0.070553068,0
Walls Above Grade | Wood Framed and Other,0,0,0.074212426,0
Walls Above Grade | Metal Framed,0,0,0.130564317,0
Walls Above Grade | Mass Heavy,0,0,0.229664721,0
Floor | Above Crawl Space,0,0,0.106989406,0
Floors | Mass,0,0,0.091443933,0
Floors | Other,0,0,0.045956449,0
Slab-On-Grade Floors | Unheated Slabs,0,0,0.73,0
Slab-On-Grade Floors | Heated Slabs,0,5,0.2,16
Opaque Doors | Non-Swinging,0,0,1.45,0
Opaque Doors | Swinging,0,0,0.7,0
Walls Above Grade | Metal Building,0,0,0.109438556,0
Walls Above Grade | Mass Light,0,0,0.281495136,0
,,,,
table:   Opaque Envelope Requirements | Climate Zone 16,,,,
Envelope Component,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Wood Framed and Other,0,0,0.058452549,0
Roofs | Metal Buildings,0,0,0.064348757,0
Roofs | Mass Heavy,0,0,0.073833285,0
Walls Above Grade | Wood Framed and Other,0,0,0.076064961,0
Walls Above Grade | Metal Framed,0,0,0.132612956,0
Walls Above Grade | Mass Heavy,0,0,0.214583016,0
Floor | Above Crawl Space,0,0,0.137240299,0
Floors | Mass,0,0,0.060382145,0
Floors | Other,0,0,0.039856469,0
Slab-On-Grade Floors | Unheated Slabs,0,0,0.73,0
Slab-On-Grade Floors | Heated Slabs,0,10,0.2,16
Opaque Doors | Non-Swinging,0,0,1.355189621,0
Opaque Doors | Swinging,0,0,0.7,0
Walls Above Grade | Metal Building,0,0,0.101663386,0
Walls Above Grade | Mass Light,0,0,0.247805118,0
,,,,
table: Fenestration Requirements | Climate Zone 1,max,max,min,
Fenestration Component,U-Factor,SHGC,VT,
Fixed Window,0.826503067,0.680368098,0.244130879,
Operable Window,0.900245796,0.689055627,0.232483829,
Curtainwall or Storefront,0.895200517,0.69309185,0.246610608,
Glazed Doors,0.89923674,0.690064683,0.217347995,
Skylights | Tubular Daylighting Devices (TDDs),0.875030675,,0.261676892,
Fixed Window | North,0.586487805,0.763902439,0.25,
Operable Window | North,0.586487805,0.763902439,0.25,
Operable Window | Non-North,0.586487805,0.636195122,0.25,
,,,,
table: Fenestration Requirements | Climate Zone 2,max,max,min,
Fenestration Component,U-Factor,SHGC,VT,
Fixed Window,1.049686049,0.715476454,0.244057042,
Operable Window,1.085147929,0.710177515,0.23295858,
Curtainwall or Storefront,1.080414201,0.713964497,0.246213018,
Glazed Doors,1.084201183,0.71112426,0.218757396,
Skylights | Tubular Daylighting Devices (TDDs),1.246391775,,0.260400177,
Fixed Window | North,0.954969199,0.77275154,0.25,
Operable Window | North,0.954969199,0.77275154,0.25,
Operable Window | Non-North,0.954969199,0.724435318,0.25,
,,,,
table: Fenestration Requirements | Climate Zone 3,max,max,min,
Fenestration Component,U-Factor,SHGC,VT,
Fixed Window,1.115248478,0.762995757,0.247024165,
Operable Window,1.158832723,0.766044613,0.241612484,
Curtainwall or Storefront,1.156509298,0.767903353,0.248118073,
Glazed Doors,1.158368038,0.766509298,0.234642211,
Skylights | Tubular Daylighting Devices (TDDs),1.285960155,,0.255156982,
Fixed Window | North,0.963749549,0.821266691,0.25,
Operable Window | North,0.963749549,0.821266691,0.25,
Operable Window | Non-North,0.963749549,0.74570913,0.25,
,,,,
table: Fenestration Requirements | Climate Zone 4,max,max,min,
Fenestration Component,U-Factor,SHGC,VT,
Fixed Window,1.04890715,0.718597299,0.243769496,
Operable Window,1.077696013,0.704527696,0.232081884,
Curtainwall or Storefront,1.072718758,0.7085095,0.246018196,
Glazed Doors,1.076700562,0.705523147,0.21715012,
Skylights | Tubular Daylighting Devices (TDDs),1.260203078,,0.260903381,
Fixed Window | North,0.981197691,0.829047619,0.25,
Operable Window | North,0.981197691,0.829047619,0.25,
Operable Window | Non-North,0.981197691,0.758441558,0.25,
,,,,
table: Fenestration Requirements | Climate Zone 5,max,max,min,
Fenestration Component,U-Factor,SHGC,VT,
Fixed Window,1.052632067,0.735987025,0.243920297,
Operable Window,1.082008257,0.70779711,0.232589207,
Curtainwall or Storefront,1.077171926,0.711666175,0.246130935,
Glazed Doors,1.059471733,0.719286376,0.224921223,
Skylights | Tubular Daylighting Devices (TDDs),1.261399444,,0.260639481,
Operable Window | North,0.9804,0.828691892,0.25,
Operable Window | Non-North,0.9804,0.757859459,0.25,
,,,,
table: Fenestration Requirements | Climate Zone 6,max,max,min,
Fenestration Component,U-Factor,SHGC,VT,
Fixed Window,1.096838538,0.724009441,0.24566594,
Operable Window,1.130144644,0.747555918,0.238252311,
Curtainwall or Storefront,1.126881397,0.750166516,0.247389402,
Glazed Doors,1.129491995,0.748208568,0.22846257,
Skylights | Tubular Daylighting Devices (TDDs),1.275263132,,0.257584604,
Fixed Window | North,0.966007978,0.822273828,0.25,
Operable Window | North,0.966007978,0.822273828,0.25,
Operable Window | Non-North,0.966007978,0.599408748,0.25,
,,,,
table: Fenestration Requirements | Climate Zone 7,max,max,min,
Fenestration Component,U-Factor,SHGC,VT,
Fixed Window,0.942410891,0.67068627,0.240002418,
Operable Window,0.993304796,0.64827995,0.222153505,
Curtainwall or Storefront,0.985569658,0.65446806,0.24381189,
Glazed Doors,0.953658171,0.626249456,0.208759975,
Skylights | Tubular Daylighting Devices (TDDs),1.230135416,,0.267495768,
Operable Window | North,0.793522899,0.745354806,0.25,
Operable Window | Non-North,0.793522899,0.527151485,0.25,
,,,,
table: Fenestration Requirements | Climate Zone 8,max,max,min,
Fenestration Component,U-Factor,SHGC,VT,
Fixed Window,1.098097087,0.736824048,0.2456297,
Operable Window,1.129644747,0.747193248,0.2381935,
Curtainwall or Storefront,1.126365163,0.749816914,0.247376333,
Glazed Doors,1.12898883,0.747849164,0.228354749,
Skylights | Tubular Daylighting Devices (TDDs),1.275004721,,0.257648026,
Fixed Window | North,0.973578154,0.825649718,0.25,
Operable Window | North,0.973578154,0.825649718,0.25,
Operable Window | Non-North,0.973578154,0.675348399,0.25,
,,,,
table: Fenestration Requirements | Climate Zone 9,max,max,min,
Fenestration Component,U-Factor,SHGC,VT,
Fixed Window,1.078916813,0.711592596,0.244273923,
Operable Window,1.100902952,0.726341357,0.234812112,
Curtainwall or Storefront,1.096684094,0.729716443,0.246624914,
Glazed Doors,1.10005918,0.727185129,0.222155539,
Skylights | Tubular Daylighting Devices (TDDs),1.264442083,,0.260020635,
Fixed Window | North,1.00316281,0.838842875,0.25,
Operable Window | North,1.00316281,0.838842875,0.25,
Operable Window | Non-North,1.00316281,0.614973609,0.25,
,,,,
table: Fenestration Requirements | Climate Zone 10,max,max,min,
Fenestration Component,U-Factor,SHGC,VT,
Fixed Window,0.9408222,0.623689584,0.239972847,
Operable Window,0.993511921,0.648430217,0.222177873,
Curtainwall or Storefront,0.985783552,0.654612912,0.243817305,
Glazed Doors,0.991966247,0.649975891,0.198992767,
Skylights | Tubular Daylighting Devices (TDDs),1.206950147,,0.267547518,
Fixed Window | North,0.781154509,0.667053418,0.25,
Operable Window | North,0.781154509,0.667053418,0.25,
Operable Window | Non-North,0.781154509,0.497708214,0.25,
,,,,
table: Fenestration Requirements | Climate Zone 11,max,max,min,
Fenestration Component,U-Factor,SHGC,VT,
Fixed Window,0.985996885,0.664345794,0.243014019,
Operable Window,1.072842402,0.700863039,0.231360225,
Curtainwall or Storefront,1.067729831,0.704953096,0.245675422,
Glazed Doors,1.071819887,0.701885553,0.216022514,
Skylights | Tubular Daylighting Devices (TDDs),0.894875389,,0.261690031,
Fixed Window | North,0.611330275,0.695733945,0.25,
Operable Window | North,0.611330275,0.695733945,0.25,
Operable Window | Non-North,0.611330275,0.470779817,0.25,
,,,,
table: Fenestration Requirements | Climate Zone 12,max,max,min,
Fenestration Component,U-Factor,SHGC,VT,
Fixed Window,0.940435958,0.638359806,0.242355526,
Operable Window,1.042286421,0.677685926,0.227869306,
Curtainwall or Storefront,1.03615922,0.682587687,0.245025469,
Glazed Doors,1.041060981,0.678911367,0.209487702,
Skylights | Tubular Daylighting Devices (TDDs),0.89880027,,0.263222936,
Fixed Window | North,0.633549352,0.733409771,0.25,
Operable Window | North,0.633549352,0.733409771,0.25,
Operable Window | Non-North,0.633549352,0.4910668,0.25,
,,,,
table: Fenestration Requirements | Climate Zone 13,max,max,min,
Fenestration Component,U-Factor,SHGC,VT,
Fixed Window,0.98944623,0.667128872,0.243196961,
Operable Window,1.073559382,0.701391427,0.231595221,
Curtainwall or Storefront,1.068446943,0.705481377,0.245910049,
Glazed Doors,1.072536894,0.702413914,0.216257906,
Skylights | Tubular Daylighting Devices (TDDs),0.892158095,,0.261905319,
Fixed Window | North,0.624366319,0.717838542,0.25,
Operable Window | North,0.624366319,0.717838542,0.25,
Operable Window | Non-North,0.624366319,0.482682292,0.25,
,,,,
table: Fenestration Requirements | Climate Zone 14,max,max,min,
Fenestration Component,U-Factor,SHGC,VT,
Fixed Window,0.746967144,0.606416737,0.240609379,
Operable Window,0.790393487,0.631319539,0.224477612,
Curtainwall or Storefront,0.783303935,0.63699118,0.244328358,
Glazed Doors,0.788975577,0.632737449,0.203208955,
Skylights | Tubular Daylighting Devices (TDDs),0.905313114,,0.266433586,
Fixed Window | North,0.606313214,0.687226754,0.25,
Operable Window | North,0.606313214,0.687226754,0.25,
Operable Window | Non-North,0.606313214,0.466199021,0.25,
,,,,
table: Fenestration Requirements | Climate Zone 15,max,max,min,
Fenestration Component,U-Factor,SHGC,VT,
Fixed Window,0.710585924,0.586372769,0.239959591,
Operable Window,0.756408626,0.615295134,0.222221454,
Curtainwall or Storefront,0.748701963,0.621460464,0.243800111,
Glazed Doors,0.754867293,0.616836467,0.199101465,
Skylights | Tubular Daylighting Devices (TDDs),0.915086991,,0.267493546,
Fixed Window | North,0.579253731,0.641343284,0.25,
Operable Window | North,0.579253731,0.641343284,0.25,
Operable Window | Non-North,0.579253731,0.441492537,0.25,
,,,,
table: Fenestration Requirements | Climate Zone 16,max,max,min,
Fenestration Component,U-Factor,SHGC,VT,
Fixed Window,0.80344765,0.678691707,0.242077663,
Operable Window,0.848655315,0.66382231,0.228419559,
Curtainwall or Storefront,0.84263043,0.668642218,0.245289238,
Glazed Doors,0.847450338,0.665027287,0.210344903,
Skylights | Tubular Daylighting Devices (TDDs),0.880125204,,0.264113591,
Fixed Window | North,0.64011828,0.810537634,0.25,
Operable Window | North,0.64011828,0.810537634,0.25,
Operable Window | Non-North,0.64011828,0.734129032,0.25,
,,,,
table:   Economizer Setpoints,,,,
Climate Zone,Fixed Drybulb,Differential Dry-bulb,,
1,75,0,,
2,73,2,,
3,75,0,,
4,73,2,,
5,75,0,,
6,71,4,,
7,69,6,,
8,71,4,,
9,71,4,,
10,73,2,,
11,75,0,,
12,75,0,,
13,75,0,,
14,75,0,,
15,75,0,,
16,75,0,,
