table:   Opaque Envelope Requirements | Climate Zone 1,,,,
Floors | Mass,0.0,0.0,0.2131401760889713,0.0
Floors | Other,0.0,0.0,0.0672078313253012,0.0
Slab-On-Grade Floors | Unheated Slabs,0.0,0.0,0.7300000000000001,0.0
Slab-On-Grade Floors | Heated Slabs,0.0,5.000000000000001,0.2,16.0
Opaque Doors | Non-Swinging,0.0,0.0,1.45,0.0
Opaque Doors | Swinging,0.0,0.0,0.7,0.0
Walls Above Grade | Metal Building,0.0,0.0,0.13278747628083495,0.0
Walls Above Grade | Mass Light,0.0,0.0,0.32211891208096144,0.0

table:   Opaque Envelope Requirements | Climate Zone 6,,,,
,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Wood Framed and Other,0.0,0.0,0.06603495521665456,0.0
Roofs | Metal Buildings,0.0,0.0,0.06820864197530864,0.0
Roofs | Mass Heavy,0.0,0.0,0.0738677175918162,0.0
Walls Above Grade | Wood Framed and Other,0.0,0.0,0.08584824497700315,0.0
Walls Above Grade | Metal Framed,0.0,0.0,0.14179949164851127,0.0
Walls Above Grade | Mass Heavy,0.0,0.0,0.33129617526022753,0.0
Floor | Above Crawl Space,0.0,0.0,0.13755784001341606,0.0
Floors | Mass,0.0,0.0,0.22846964415395787,0.0
Floors | Other,0.0,0.0,0.06838230452674895,0.0
Slab-On-Grade Floors | Unheated Slabs,0.0,0.0,0.7299999999999999,0.0
Slab-On-Grade Floors | Heated Slabs,0.0,5.0,0.20000000000000004,16.0
Opaque Doors | Non-Swinging,0.0,0.0,1.45,0.0
Opaque Doors | Swinging,0.0,0.0,0.7,0.0
Walls Above Grade | Metal Building,0.0,0.0,0.13601626794258373,0.0
Walls Above Grade | Mass Light,0.0,0.0,0.3509545019573727,0.0

table:   Opaque Envelope Requirements | Climate Zone 7,,,,
,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Wood Framed and Other,0.0,0.0,0.05983430865212556,0.0
Roofs | Metal Buildings,0.0,0.0,0.06445819025970886,0.0
Roofs | Mass Heavy,0.0,0.0,0.07221222366710014,0.0
Walls Above Grade | Wood Framed and Other,0.0,0.0,0.08088852348019539,0.0
Walls Above Grade | Metal Framed,0.0,0.0,0.13800483629153162,0.0
Walls Above Grade | Mass Heavy,0.0,0.0,0.41274048459641144,0.0
Floor | Above Crawl Space,0.0,0.0,0.12229050715214565,0.0
Floors | Mass,0.0,0.0,0.20342714126807568,0.0
Floors | Other,0.0,0.0,0.07196097112733955,0.0
Slab-On-Grade Floors | Unheated Slabs,0.0,0.0,0.73,0.0
Slab-On-Grade Floors | Heated Slabs,0.0,5.0,0.20000000000000004,16.0
Opaque Doors | Non-Swinging,0.0,0.0,1.45,0.0
Opaque Doors | Swinging,0.0,0.0,0.7000000000000001,0.0
Walls Above Grade | Metal Building,0.0,0.0,0.11521483264056002,0.0
Walls Above Grade | Mass Light,0.0,0.0,0.3152434915773353,0.0

table:   Opaque Envelope Requirements | Climate Zone 8,,,,
,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Wood Framed and Other,0.0,0.0,0.06520200748434932,0.0
Roofs | Metal Buildings,0.0,0.0,0.06842531388801455,0.0
Roofs | Mass Heavy,0.0,0.0,0.07409956500724989,0.0
Walls Above Grade | Wood Framed and Other,0.0,0.0,0.08597013254992482,0.0
Walls Above Grade | Metal Framed,0.0,0.0,0.1419008498583569,0.0
Walls Above Grade | Mass Heavy,0.0,0.0,0.3303689714265729,0.0
Floor | Above Crawl Space,0.0,0.0,0.13969598840019334,0.0
Floors | Mass,0.0,0.0,0.23110901269541498,0.0
Floors | Other,0.0,0.0,0.06833945371244708,0.0
Slab-On-Grade Floors | Unheated Slabs,0.0,0.0,0.73,0.0
Slab-On-Grade Floors | Heated Slabs,0.0,4.999999999999999,0.19999999999999998,16.0
Opaque Doors | Non-Swinging,0.0,0.0,1.45,0.0
Opaque Doors | Swinging,0.0,0.0,0.6999999999999998,0.0
Walls Above Grade | Metal Building,0.0,0.0,0.1352411742376313,0.0
Walls Above Grade | Mass Light,0.0,0.0,0.34975553587245356,0.0

table:   Opaque Envelope Requirements | Climate Zone 9,,,,
,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Wood Framed and Other,0.0,0.0,0.06435048815793527,0.0
Roofs | Metal Buildings,0.0,0.0,0.06857383966244728,0.0
Roofs | Mass Heavy,0.0,0.0,0.07460257698187378,0.0
Walls Above Grade | Wood Framed and Other,0.0,0.0,0.0852484831685608,0.0
Walls Above Grade | Metal Framed,0.0,0.0,0.1402101697003296,0.0
Walls Above Grade | Mass Heavy,0.0,0.0,0.3395483384151037,0.0
Floor | Above Crawl Space,0.0,0.0,0.1443348766106137,0.0
Floors | Mass,0.0,0.0,0.22682186085188952,0.0
Floors | Other,0.0,0.0,0.06717770796759986,0.0
Slab-On-Grade Floors | Unheated Slabs,0.0,0.0,0.7300000000000002,0.0
Slab-On-Grade Floors | Heated Slabs,0.0,5.000000000000001,0.20000000000000004,16.0
Opaque Doors | Non-Swinging,0.0,0.0,1.4500000000000002,0.0
Opaque Doors | Swinging,0.0,0.0,0.7000000000000001,0.0
Walls Above Grade | Metal Building,0.0,0.0,0.12400396908293292,0.0
Walls Above Grade | Mass Light,0.0,0.0,0.3163973260914978,0.0

table:   Opaque Envelope Requirements | Climate Zone 10,,,,
,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Wood Framed and Other,0.0,0.0,0.05480623438687956,0.0
Roofs | Metal Buildings,0.0,0.0,0.062199304876724246,0.0
Roofs | Mass Heavy,0.0,0.0,0.07095191934858473,0.0
Walls Above Grade | Wood Framed and Other,0.0,0.0,0.07926762246117086,0.0
Walls Above Grade | Metal Framed,0.0,0.0,0.13305126534158798,0.0
Walls Above Grade | Mass Heavy,0.0,0.0,0.4069799065928099,0.0
Floor | Above Crawl Space,0.0,0.0,0.11066770065917023,0.0
Floors | Mass,0.0,0.0,0.19087824481372878,0.0
Floors | Other,0.0,0.0,0.06392375366568916,0.0
Slab-On-Grade Floors | Unheated Slabs,0.0,0.0,0.7300000000000002,0.0
Slab-On-Grade Floors | Heated Slabs,0.0,5.000000000000001,0.20000000000000007,16.0
Opaque Doors | Non-Swinging,0.0,0.0,1.4500000000000006,0.0
Opaque Doors | Swinging,0.0,0.0,0.7000000000000002,0.0
Walls Above Grade | Metal Building,0.0,0.0,0.11285873055075328,0.0
Walls Above Grade | Mass Light,0.0,0.0,0.2817955050629785,0.0

table:   Opaque Envelope Requirements | Climate Zone 11,,,,
,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Wood Framed and Other,0.0,0.0,0.06191277258566981,0.0
Roofs | Metal Buildings,0.0,0.0,0.06695249221183802,0.0
Roofs | Mass Heavy,0.0,0.0,0.07709327036599765,0.0
Walls Above Grade | Wood Framed and Other,0.0,0.0,0.08176869158878507,0.0
Walls Above Grade | Metal Framed,0.0,0.0,0.141588785046729,0.0
Walls Above Grade | Mass Heavy,0.0,0.0,0.26905529595015576,0.0
Floor | Above Crawl Space,0.0,0.0,0.16730460448642268,0.0
Floors | Mass,0.0,0.0,0.08704984423676014,0.0
Floors | Other,0.0,0.0,0.04528193146417446,0.0
Slab-On-Grade Floors | Unheated Slabs,0.0,0.0,0.7300000000000001,0.0
Slab-On-Grade Floors | Heated Slabs,0.0,5.000000000000001,0.20000000000000004,16.0
Opaque Doors | Non-Swinging,0.0,0.0,1.4500000000000004,0.0
Opaque Doors | Swinging,0.0,0.0,0.7000000000000002,0.0
Walls Above Grade | Metal Building,0.0,0.0,0.11751487414187642,0.0
Walls Above Grade | Mass Light,0.0,0.0,0.2997025171624714,0.0

table:   Opaque Envelope Requirements | Climate Zone 12,,,,
,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Wood Framed and Other,0.0,0.0,0.05841793398670721,0.0
Roofs | Metal Buildings,0.0,0.0,0.06402320603807592,0.0
Roofs | Mass Heavy,0.0,0.0,0.07659517839922855,0.0
Walls Above Grade | Wood Framed and Other,0.0,0.0,0.08334426044834965,0.0
Walls Above Grade | Metal Framed,0.0,0.0,0.14186008786752274,0.0
Walls Above Grade | Mass Heavy,0.0,0.0,0.30766734257068823,0.0
Floor | Above Crawl Space,0.0,0.0,0.16271108968177436,0.0
Floors | Mass,0.0,0.0,0.08667229920018021,0.0
Floors | Other,0.0,0.0,0.06605215726033568,0.0
Slab-On-Grade Floors | Unheated Slabs,0.0,0.0,0.7299999999999998,0.0
Slab-On-Grade Floors | Heated Slabs,0.0,4.999999999999998,0.19999999999999996,16.0
Opaque Doors | Non-Swinging,0.0,0.0,1.4499999999999995,0.0
Opaque Doors | Swinging,0.0,0.0,0.6999999999999997,0.0
Walls Above Grade | Metal Building,0.0,0.0,0.12254333694474541,0.0
Walls Above Grade | Mass Light,0.0,0.0,0.3112676056338028,0.0

table:   Opaque Envelope Requirements | Climate Zone 13,,,,
,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Wood Framed and Other,0.0,0.0,0.06167007597895967,0.0
Roofs | Metal Buildings,0.0,0.0,0.06668293395675044,0.0
Roofs | Mass Heavy,0.0,0.0,0.07660203180212015,0.0
Walls Above Grade | Wood Framed and Other,0.0,0.0,0.08438793103448275,0.0
Walls Above Grade | Metal Framed,0.0,0.0,0.14093673290473407,0.0
Walls Above Grade | Mass Heavy,0.0,0.0,0.27298480420806553,0.0
Floor | Above Crawl Space,0.0,0.0,0.1627742932862191,0.0
Floors | Mass,0.0,0.0,0.08705902980713033,0.0
Floors | Other,0.0,0.0,0.06639918176504968,0.0
Slab-On-Grade Floors | Unheated Slabs,0.0,0.0,0.73,0.0
Slab-On-Grade Floors | Heated Slabs,0.0,5.0,0.2,16.0
Opaque Doors | Non-Swinging,0.0,0.0,1.4500000000000004,0.0
Opaque Doors | Swinging,0.0,0.0,0.7000000000000001,0.0
Walls Above Grade | Metal Building,0.0,0.0,0.11714205526770292,0.0
Walls Above Grade | Mass Light,0.0,0.0,0.2993264248704663,0.0

table:   Opaque Envelope Requirements | Climate Zone 14,,,,
,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Wood Framed and Other,0.0,0.0,0.055549283909014334,0.0
Roofs | Metal Buildings,0.0,0.0,0.06247655153046898,0.0
Roofs | Mass Heavy,0.0,0.0,0.07183806818181819,0.0
Walls Above Grade | Wood Framed and Other,0.0,0.0,0.07563072170738558,0.0
Walls Above Grade | Metal Framed,0.0,0.0,0.13323279977534402,0.0
Walls Above Grade | Mass Heavy,0.0,0.0,0.22652064026958724,0.0
Floor | Above Crawl Space,0.0,0.0,0.11883996212121213,0.0
Floors | Mass,0.0,0.0,0.08701713001965741,0.0
Floors | Other,0.0,0.0,0.04419545071609098,0.0
Slab-On-Grade Floors | Unheated Slabs,0.0,0.0,0.7299999999999999,0.0
Slab-On-Grade Floors | Heated Slabs,0.0,5.0,0.2,16.0
Opaque Doors | Non-Swinging,0.0,0.0,1.45,0.0
Opaque Doors | Swinging,0.0,0.0,0.7000000000000001,0.0
Walls Above Grade | Metal Building,0.0,0.0,0.10838371290545204,0.0
Walls Above Grade | Mass Light,0.0,0.0,0.2799930986887509,0.0

table:   Opaque Envelope Requirements | Climate Zone 15,,,,
,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Wood Framed and Other,0.0,0.0,0.053588506005163315,0.0
Roofs | Metal Buildings,0.0,0.0,0.06097777528342126,0.0
Roofs | Mass Heavy,0.0,0.0,0.07055306815910453,0.0
Walls Above Grade | Wood Framed and Other,0.0,0.0,0.0742124256369963,0.0
Walls Above Grade | Metal Framed,0.0,0.0,0.13056431698282633,0.0
Walls Above Grade | Mass Heavy,0.0,0.0,0.2296647210685823,0.0
Floor | Above Crawl Space,0.0,0.0,0.1069894063561863,0.0
Floors | Mass,0.0,0.0,0.09144393310135818,0.0
Floors | Other,0.0,0.0,0.045956448535189126,0.0
Slab-On-Grade Floors | Unheated Slabs,0.0,0.0,0.7299999999999999,0.0
Slab-On-Grade Floors | Heated Slabs,0.0,5.0,0.2,16.0
Opaque Doors | Non-Swinging,0.0,0.0,1.4499999999999997,0.0
Opaque Doors | Swinging,0.0,0.0,0.7,0.0
Walls Above Grade | Metal Building,0.0,0.0,0.10943855606758834,0.0
Walls Above Grade | Mass Light,0.0,0.0,0.2814951356886842,0.0

table:   Opaque Envelope Requirements | Climate Zone 16,,,,
,Cavity R-Value,Continuous R-Value,Maximum U-Factor,Extent
Roofs | Wood Framed and Other,0.0,0.0,0.05845254944656143,0.0
Roofs | Metal Buildings,0.0,0.0,0.06434875703139178,0.0
Roofs | Mass Heavy,0.0,0.0,0.0738332854268468,0.0
Walls Above Grade | Wood Framed and Other,0.0,0.0,0.0760649609871167,0.0
Walls Above Grade | Metal Framed,0.0,0.0,0.1326129559063691,0.0
Walls Above Grade | Mass Heavy,0.0,0.0,0.21458301578660866,0.0
Floor | Above Crawl Space,0.0,0.0,0.13724029893647602,0.0
Floors | Mass,0.0,0.0,0.060382144801306485,0.0
Floors | Other,0.0,0.0,0.03985646888042098,0.0
Slab-On-Grade Floors | Unheated Slabs,0.0,0.0,0.7300000000000002,0.0
Slab-On-Grade Floors | Heated Slabs,0.0,10.000000000000002,0.20000000000000004,16.0
Opaque Doors | Non-Swinging,0.0,0.0,1.3551896207584833,0.0
Opaque Doors | Swinging,0.0,0.0,0.7,0.0
Walls Above Grade | Metal Building,0.0,0.0,0.10166338582677166,0.0
Walls Above Grade | Mass Light,0.0,0.0,0.24780511811023626,0.0

table: Fenestration Requirements | Climate Zone 1,max,max,min,
,U-Factor,SHGC,VT
Fixed Window,0.8265030674846625,0.6803680981595092,0.24413087934560324
Operable Window,0.9002457956015523,0.6890556274256143,0.23248382923673994
Curtainwall or Storefront,0.895200517464424,0.6930918499353167,0.24661060802069848
Glazed Doors,0.8992367399741267,0.6900646830530398,0.21734799482535572
Skylights | Tubular Daylighting Devices (TDDs),0.8750306748466257,,0.2616768916155419
Fixed Window | North,0.5864878048780487,0.7639024390243904,0.25
Operable Window | North,0.5864878048780487,0.7639024390243904,0.25
Operable Window | Non-North,0.5864878048780487,0.6361951219512194,0.25

table: Fenestration Requirements | Climate Zone 2,max,max,min,
,U-Factor,SHGC,VT
Fixed Window,1.0496860490824673,0.7154764536811851,0.24405704178642493
Operable Window,1.0851479289940829,0.7101775147928995,0.2329585798816568
Curtainwall or Storefront,1.080414201183432,0.7139644970414203,0.24621301775147927
Glazed Doors,1.0842011834319527,0.7111242603550296,0.21875739644970413
Skylights | Tubular Daylighting Devices (TDDs),1.2463917753703297,,0.2604001768737564
Fixed Window | North,0.9549691991786448,0.7727515400410676,0.25
Operable Window | North,0.9549691991786448,0.7727515400410676,0.25
Operable Window | Non-North,0.9549691991786448,0.724435318275154,0.25

table: Fenestration Requirements | Climate Zone 3,max,max,min,
,U-Factor,SHGC,VT
Fixed Window,1.1152484781405643,0.7629957572403614,0.2470241652831581
Operable Window,1.1588327227194728,0.7660446134582384,0.24161248434818908
Curtainwall or Storefront,1.1565092983351108,0.7679033529657284,0.2481180726244029
Glazed Doors,1.1583680378426005,0.7665092983351112,0.23464221119510278
Skylights | Tubular Daylighting Devices (TDDs),1.2859601549529607,,0.2551569821066224
Fixed Window | North,0.9637495488993143,0.8212666907253698,0.25
Operable Window | North,0.9637495488993143,0.8212666907253698,0.25
Operable Window | Non-North,0.9637495488993143,0.745709130277878,0.25

table: Fenestration Requirements | Climate Zone 4,max,max,min,
,U-Factor,SHGC,VT
Fixed Window,1.0489071495865174,0.7185972992777139,0.24376949649324825
Operable Window,1.0776960128445274,0.7045276960128445,0.23208188386406212
Curtainwall or Storefront,1.0727187583623226,0.7085094995986085,0.24601819641423606
Glazed Doors,1.0767005619480865,0.7055231469092855,0.2171501204174472
Skylights | Tubular Daylighting Devices (TDDs),1.2602030775672564,,0.2609033811368157
Fixed Window | North,0.9811976911976913,0.829047619047619,0.25
Operable Window | North,0.9811976911976913,0.829047619047619,0.25
Operable Window | Non-North,0.9811976911976913,0.7584415584415585,0.25

table: Fenestration Requirements | Climate Zone 5,max,max,min,
,U-Factor,SHGC,VT
Fixed Window,1.052632066728452,0.7359870250231697,0.24392029657089903
Operable Window,1.0820082571512823,0.7077971099970509,0.23258920672368028
Curtainwall or Storefront,1.077171925685638,0.7116661751695662,0.24613093482748444
Glazed Doors,1.0594717330861907,0.7192863762743281,0.2249212233549583
Skylights | Tubular Daylighting Devices (TDDs),1.2613994439295648,,0.2606394810009268
Operable Window | North,0.9803999999999999,0.8286918918918919,0.25
Operable Window | Non-North,0.9803999999999999,0.7578594594594594,0.25

table: Fenestration Requirements | Climate Zone 6,max,max,min,
,U-Factor,SHGC,VT
Fixed Window,1.0968385378842895,0.7240094408133623,0.2456659404502542
Operable Window,1.1301446443673264,0.7475559184625702,0.23825231110203846
Curtainwall or Storefront,1.126881397451226,0.7501665159954506,0.24738940246711966
Glazed Doors,1.1294919949841067,0.7482085678457903,0.2284625703537371
Skylights | Tubular Daylighting Devices (TDDs),1.2752631324134593,,0.25758460421205515
Fixed Window | North,0.9660079783444935,0.8222738281806525,0.25
Operable Window | North,0.9660079783444935,0.8222738281806525,0.25
Operable Window | Non-North,0.9660079783444935,0.5994087476848553,0.25

table: Fenestration Requirements | Climate Zone 7,max,max,min,
,U-Factor,SHGC,VT
Fixed Window,0.9424108913285293,0.6706862697683417,0.24000241814576584
Operable Window,0.9933047955457107,0.648279949709633,0.22215350535831888
Curtainwall or Storefront,0.9855696581452434,0.6544680596300066,0.2438118900796264
Glazed Doors,0.9536581709145429,0.6262494559172027,0.20875997485128406
Skylights | Tubular Daylighting Devices (TDDs),1.2301354161628864,,0.26749576824490984
Operable Window | North,0.7935228988424761,0.7453548062405636,0.25
Operable Window | Non-North,0.7935228988424761,0.5271514846502265,0.25

table: Fenestration Requirements | Climate Zone 8,max,max,min,
,U-Factor,SHGC,VT
Fixed Window,1.0980970866995416,0.7368240478438778,0.2456296995768195
Operable Window,1.129644746787604,0.7471932476694384,0.2381934996220711
Curtainwall or Storefront,1.1263651633492904,0.7498169144200895,0.2473763332493492
Glazed Doors,1.1289888300999413,0.747849164357101,0.2283547493071303
Skylights | Tubular Daylighting Devices (TDDs),1.2750047214353164,,0.25764802574056583
Fixed Window | North,0.9735781544256121,0.8256497175141243,0.25
Operable Window | North,0.9735781544256121,0.8256497175141243,0.25
Operable Window | Non-North,0.9735781544256121,0.6753483992467043,0.25

table: Fenestration Requirements | Climate Zone 9,max,max,min,
,U-Factor,SHGC,VT
Fixed Window,1.0789168129600544,0.7115925960146602,0.24427392281868862
Operable Window,1.1009029517481757,0.7263413571506371,0.23481211197037363
Curtainwall or Storefront,1.0966840939621685,0.729716443379443,0.24662491377119414
Glazed Doors,1.1000591801909743,0.7271851287078386,0.22215553861235166
Skylights | Tubular Daylighting Devices (TDDs),1.2644420832178385,,0.260020635067295
Fixed Window | North,1.0031628095818108,0.8388428745432399,0.25
Operable Window | North,1.0031628095818108,0.8388428745432399,0.25
Operable Window | Non-North,1.0031628095818108,0.6149736094194073,0.25

table: Fenestration Requirements | Climate Zone 10,max,max,min,
,U-Factor,SHGC,VT
Fixed Window,0.9408222004996202,0.6236895840121647,0.23997284674704034
Operable Window,0.9935119207072058,0.6484302169836591,0.22217787302437714
Curtainwall or Storefront,0.9857835521028664,0.654612911867131,0.24381730511652824
Glazed Doors,0.991966246986338,0.649975890704527,0.1989927672113581
Skylights | Tubular Daylighting Devices (TDDs),1.2069501466275665,,0.2675475181926796
Fixed Window | North,0.7811545089029294,0.6670534175761057,0.25
Operable Window | North,0.7811545089029294,0.6670534175761057,0.25
Operable Window | Non-North,0.7811545089029294,0.4977082136703044,0.25

table: Fenestration Requirements | Climate Zone 11,max,max,min,
,U-Factor,SHGC,VT
Fixed Window,0.9859968847352025,0.6643457943925235,0.24301401869158884
Operable Window,1.0728424015009381,0.7008630393996246,0.23136022514071292
Curtainwall or Storefront,1.067729831144465,0.7049530956848029,0.24567542213883672
Glazed Doors,1.0718198874296434,0.7018855534709193,0.21602251407129455
Skylights | Tubular Daylighting Devices (TDDs),0.8948753894081,,0.26169003115264805
Fixed Window | North,0.6113302752293578,0.6957339449541284,0.25
Operable Window | North,0.6113302752293578,0.6957339449541284,0.25
Operable Window | Non-North,0.6113302752293578,0.47077981651376144,0.25

table: Fenestration Requirements | Climate Zone 12,max,max,min,
,U-Factor,SHGC,VT
Fixed Window,0.9404359580939504,0.638359806240847,0.24235552551537676
Operable Window,1.042286421190511,0.6776859263571532,0.2278693057779072
Curtainwall or Storefront,1.0361592199097658,0.6825876873817495,0.2450254693639936
Glazed Doors,1.0410609809343618,0.6789113666133024,0.2094877019356717
Skylights | Tubular Daylighting Devices (TDDs),0.8988002703616083,,0.2632229356764672
Fixed Window | North,0.6335493519441675,0.7334097706879362,0.25
Operable Window | North,0.6335493519441675,0.7334097706879362,0.25
Operable Window | Non-North,0.6335493519441675,0.4910667996011963,0.25

table: Fenestration Requirements | Climate Zone 13,max,max,min,
,U-Factor,SHGC,VT
Fixed Window,0.9894462302746933,0.6671288720046757,0.2431969608416131
Operable Window,1.0735593815881943,0.7013914265635982,0.23159522136331695
Curtainwall or Storefront,1.0684469430780044,0.7054813773717499,0.24591004919184822
Glazed Doors,1.0725368938861561,0.7024139142656362,0.21625790583274776
Skylights | Tubular Daylighting Devices (TDDs),0.8921580946814729,,0.2619053185271771
Fixed Window | North,0.6243663194444443,0.7178385416666665,0.25
Operable Window | North,0.6243663194444443,0.7178385416666665,0.25
Operable Window | Non-North,0.6243663194444443,0.48268229166666654,0.25

table: Fenestration Requirements | Climate Zone 14,max,max,min,
,U-Factor,SHGC,VT
Fixed Window,0.7469671440606572,0.6064167368716653,0.24060937938781243
Operable Window,0.7903934871099051,0.631319538670285,0.22447761194029844
Curtainwall or Storefront,0.783303934871099,0.6369911804613297,0.24432835820895515
Glazed Doors,0.788975576662144,0.6327374491180462,0.20320895522388058
Skylights | Tubular Daylighting Devices (TDDs),0.9053131142937377,,0.2664335860713283
Fixed Window | North,0.6063132137030994,0.687226753670473,0.25
Operable Window | North,0.6063132137030994,0.687226753670473,0.25
Operable Window | Non-North,0.6063132137030994,0.46619902120717777,0.25

table: Fenestration Requirements | Climate Zone 15,max,max,min,
