Bldg,CZ,Kind,TechID,MappedRun,srcCool,fileCool,MATCH
MFm,5,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,7435.77,7435.77,Y
MFm,6,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,19324.03,19324.03,Y
MFm,6,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,9739.79,9739.79,Y
MFm,7,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,15414.37,15414.37,Y
MFm,7,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,7769.22,7769.22,Y
MFm,8,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,42197.94,42197.94,Y
MFm,8,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,21268.81,21268.81,Y
MFm,9,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,41684.09,41684.09,Y
MFm,9,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,21009.81,21009.81,Y
MFm,10,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,42536.85,42536.85,Y
MFm,10,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,21439.62,21439.62,Y
MFm,11,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,59232.32,59232.32,Y
MFm,11,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,29854.56,29854.56,Y
MFm,12,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,25970.63,25970.63,Y
MFm,12,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,13089.84,13089.84,Y
MFm,13,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,76269.69,76269.69,Y
MFm,13,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,38441.81,38441.81,Y
MFm,14,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,45243.62,45243.62,Y
MFm,14,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,22803.91,22803.91,Y
MFm,15,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,134900.82,134900.82,Y
MFm,15,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,67993.36,67993.36,Y
MFm,16,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,16975.97,16975.97,Y
MFm,16,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,8556.31,8556.31,Y
MFm,1,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,2414.03,2414.03,Y
MFm,1,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,1216.73,1216.73,Y
MFm,2,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,12688.62,12688.62,Y
MFm,2,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,6395.38,6395.38,Y
MFm,3,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,16464.82,16464.82,Y
MFm,3,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,8298.68,8298.68,Y
MFm,4,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,31249.72,31249.72,Y
MFm,4,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,15750.63,15750.63,Y
MFm,5,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,14752.78,14752.78,Y
MFm,5,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,7435.77,7435.77,Y
MFm,6,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,19324.03,19324.03,Y
MFm,6,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,9739.79,9739.79,Y
MFm,7,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,15414.37,15414.37,Y
MFm,7,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,7769.22,7769.22,Y
MFm,8,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,42197.94,42197.94,Y
MFm,8,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,21268.81,21268.81,Y
MFm,9,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,41684.09,41684.09,Y
MFm,9,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,21009.81,21009.81,Y
MFm,10,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,42536.85,42536.85,Y
MFm,10,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,21439.62,21439.62,Y
MFm,11,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,59232.32,59232.32,Y
MFm,11,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,29854.56,29854.56,Y
MFm,12,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,25970.63,25970.63,Y
MFm,12,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,13089.84,13089.84,Y
MFm,13,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,76269.69,76269.69,Y
MFm,13,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,38441.81,38441.81,Y
MFm,14,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,45243.62,45243.62,Y
MFm,14,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,22803.91,22803.91,Y
MFm,15,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,134900.82,134900.82,Y
MFm,15,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,67993.36,67993.36,Y
MFm,16,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-22.5%UC-AOE,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,16975.97,16975.97,Y
MFm,16,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,8556.31,8556.31,Y
MFm,1,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-30%UC-AOE,LRM AOE +30% RCA LSC R22 R410a rDXHP Base,3285.98,3285.98,Y
MFm,1,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,1216.73,1216.73,Y
MFm,2,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-30%UC-AOE,LRM AOE +30% RCA LSC R22 R410a rDXHP Base,17271.8,17271.8,Y
MFm,2,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,6395.38,6395.38,Y
MFm,3,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-30%UC-AOE,LRM AOE +30% RCA LSC R22 R410a rDXHP Base,22411.97,22411.97,Y
MFm,3,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,8298.68,8298.68,Y
MFm,4,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-30%UC-AOE,LRM AOE +30% RCA LSC R22 R410a rDXHP Base,42537.25,42537.25,Y
MFm,4,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,15750.63,15750.63,Y
MFm,5,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-30%UC-AOE,LRM AOE +30% RCA LSC R22 R410a rDXHP Base,20081.54,20081.54,Y
MFm,5,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,7435.77,7435.77,Y
MFm,6,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-30%UC-AOE,LRM AOE +30% RCA LSC R22 R410a rDXHP Base,26303.94,26303.94,Y
MFm,6,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,9739.79,9739.79,Y
MFm,7,base,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-30%UC-AOE,LRM AOE +30% RCA LSC R22 R410a rDXHP Base,20982.1,20982.1,Y
MFm,7,meas,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-AOE,LRM AOE R22 R410a rDXHP Measure,7769.22,7769.22,Y
