skip,case_name,sizing_case,:heat_sizing_factor,:cool_sizing_factor,:hvac_config,:main_hvac_type,:main_atu_reheat_coil_type,:main_atu_reheat_control,:main_fan_rise,:main_cool_coil_type,:main_heat_coil_type,:main_dx_type,:main_sat_reset_type,:main_sat_temp_max,:main_design_peak_load,:main_oa_econ_type,:main_cool_coil_cop,:main_dx_comp_speed,:main_cool_flow_min_frac,:main_unitary_no_load_flow_method,:main_fan_speed,:main_fan_motor_eff,:main_heat_coil_cop,:main_heat_coil_eff,:main_heat_flow_frac,:chw_chiller_cop,:chw_chiller_model,:chw_pump_type,:hw_boiler_eff
,NE-dxHP_equip-pkgEER-13.5-IEER,,1.25,1.15,,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,DX-AIR,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,3.8,CONSTANT,,,CONSTANT,0.87,3.4,,1,,,,
,NE-dxHP_equip-pkgEER-14-IEER,,1.25,1.15,,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,DX-AIR,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,3.91,CONSTANT,,,CONSTANT,0.87,3.4,,1,,,,
,NE-dxHP_equip-pkgEER-15-IEER,,1.25,1.15,,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,DX-AIR,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,4.11,CONSTANT,,,CONSTANT,0.87,3.61,,1,,,,
,NE-dxHP_equip-pkgEER-16-IEER,,1.25,1.15,,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,DX-AIR,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,4.34,CONSTANT,,,CONSTANT,0.87,3.61,,1,,,,
,NE-dxHP_equip-pkgSEER-15.4-SEER2,,1.25,1.15,,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,DX-AIR,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,4.27,CONSTANT,,,CONSTANT,0.87,3.93,,1,,,,
,NE-dxHP_equip-pkgSEER-16.3-SEER2,,1.25,1.15,,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,DX-AIR,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,4.43,CONSTANT,,,CONSTANT,0.87,4.02,,1,,,,
,NE-dxHP_equip-pkgSEER-14.4-SEER2-1Stage,,1.25,1.15,,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,DX-AIR,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,4.12,CONSTANT,,,CONSTANT,0.87,3.86,,1,,,,
,NE-dxHP_equip-pkgSEER-14.4-SEER2-2Stage,,1.25,1.15,,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,DX-AIR,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,4.12,DUAL-EQUAL,,,CONSTANT,0.87,3.86,,1,,,,
,NE-dxHP_equip-spltSEER-14.4-SEER2-8.7-HSPF,,1.25,1.15,,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,DX-AIR,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,4.12,CONSTANT,,,CONSTANT,0.87,3.97,,1,,,,
,NE-dxHP_equip-spltSEER-15.4-SEER2-9-HSPF,,1.25,1.15,,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,DX-AIR,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,4.27,CONSTANT,,,CONSTANT,0.87,4.02,,1,,,,
,NE-dxHP_equip-spltSEER-16.3-SEER2-9.4-HSPF,,1.25,1.15,,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,DX-AIR,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,4.43,CONSTANT,,,CONSTANT,0.87,4.09,,1,,,,
,NE-dxHP_equip-spltSEER-17.3-SEER2-9.7-HSPF,,1.25,1.15,,SZ-CAV,NONE,nil,3.877['in H2O'],DX-AIR,DX-AIR,PNNL,FLOATING,95['F'],NONCOINCIDENT,FIXED-DRY-BULB,4.56,CONSTANT,,,CONSTANT,0.87,4.13,,1,,,,
